#omega_15	E_QP(omega)_15#	omega_16	E_QP(omega)_16#	omega_17	E_QP(omega)_17#	omega_18	E_QP(omega)_18#	omega_19	E_QP(omega)_19#	omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21#	omega_22	E_QP(omega)_22#	omega_23	E_QP(omega)_23#	omega_24	E_QP(omega)_24#	omega_25	E_QP(omega)_25
-1.435467	-0.240562	-1.384634	-0.190268	-1.356139	-0.196144	-1.356139	-0.196129	-1.267286	-0.156488	-1.267285	-0.156470	-1.007847	+0.137436	-1.007846	+0.137433	-0.942885	+0.161109	-0.910016	+0.191254	-0.910016	+0.191257
-1.425467	-0.421447	-1.374634	-0.486450	-1.346139	-0.305535	-1.346139	-0.305545	-1.257286	-0.297067	-1.257285	-0.297072	-0.997847	+0.096865	-0.997846	+0.096859	-0.932885	+0.167246	-0.900016	+0.181834	-0.900016	+0.181835
-1.415467	-0.425770	-1.364634	-0.850999	-1.336139	-0.575311	-1.336139	-0.575289	-1.247286	-0.382923	-1.247285	-0.382931	-0.987847	+0.056162	-0.987846	+0.056121	-0.922885	+0.172037	-0.890016	+0.180971	-0.890016	+0.180970
-1.405467	-0.685292	-1.354634	-0.623434	-1.326139	-0.546599	-1.326139	-0.546574	-1.237286	-0.847758	-1.237285	-0.847778	-0.977847	+0.159692	-0.977846	+0.159786	-0.912885	+0.166117	-0.880016	+0.201789	-0.880016	+0.201788
-1.395467	-0.382026	-1.344634	+0.066380	-1.316139	-0.123769	-1.316139	-0.123767	-1.227286	+0.065171	-1.227285	+0.065506	-0.967847	+0.058331	-0.967846	+0.058322	-0.902885	+0.164705	-0.870016	+0.185138	-0.870016	+0.185138
-1.385467	-0.383134	-1.334634	-0.234822	-1.306139	-0.311551	-1.306139	-0.311591	-1.217286	-0.035238	-1.217285	-0.035284	-0.957847	-0.239699	-0.957846	-0.239410	-0.892885	+0.160154	-0.860016	+0.192562	-0.860016	+0.192561
-1.375467	-0.457867	-1.324634	-0.325893	-1.296139	-0.552225	-1.296139	-0.552272	-1.207286	-0.200157	-1.207285	-0.200182	-0.947847	+0.235596	-0.947846	+0.235581	-0.882885	+0.173492	-0.850016	+0.193341	-0.850016	+0.193341
-1.365467	-0.640328	-1.314634	-0.390862	-1.286139	-0.336998	-1.286139	-0.337006	-1.197286	-0.163139	-1.197285	-0.163153	-0.937847	+0.140450	-0.937846	+0.140456	-0.872885	+0.167222	-0.840016	+0.187238	-0.840016	+0.187239
-1.355467	-0.623594	-1.304634	-0.276631	-1.276139	-0.046405	-1.276139	-0.046385	-1.187286	-0.250587	-1.187285	-0.250599	-0.927847	+0.105059	-0.927846	+0.105053	-0.862885	+0.163227	-0.830016	+0.185628	-0.830016	+0.185628
-1.345467	-0.136570	-1.294634	-0.452758	-1.266139	-0.285814	-1.266139	-0.285786	-1.177286	-0.280163	-1.177285	-0.280178	-0.917847	+0.182290	-0.917846	+0.182271	-0.852885	+0.160900	-0.820016	+0.181905	-0.820016	+0.181905
-1.335467	-0.439871	-1.284634	-0.496906	-1.256139	-0.450848	-1.256139	-0.450848	-1.167286	-0.200604	-1.167285	-0.200593	-0.907847	+0.152271	-0.907846	+0.152270	-0.842885	+0.158454	-0.810016	+0.185854	-0.810016	+0.185855
-1.325467	-0.592431	-1.274634	-0.654657	-1.246139	-0.468451	-1.246139	-0.468396	-1.157286	-0.392099	-1.157285	-0.392099	-0.897847	+0.061093	-0.897846	+0.061060	-0.832885	+0.159579	-0.800016	+0.187148	-0.800016	+0.187148
-1.315467	-0.287155	-1.264634	-1.090222	-1.236139	-0.353444	-1.236139	-0.353426	-1.147286	-0.274726	-1.147285	-0.274742	-0.887847	+0.099014	-0.887846	+0.099040	-0.822885	+0.163164	-0.790016	+0.184353	-0.790016	+0.184353
-1.305467	-0.393136	-1.254634	-0.138578	-1.226139	-0.259259	-1.226139	-0.259254	-1.137286	-0.307373	-1.137285	-0.307309	-0.877847	+0.114604	-0.877846	+0.114591	-0.812885	+0.158668	-0.780016	+0.183024	-0.780016	+0.183024
-1.295467	-0.495344	-1.244634	-0.270179	-1.216139	-0.219282	-1.216139	-0.219282	-1.127286	-0.260400	-1.127285	-0.260407	-0.867847	+0.073304	-0.867846	+0.073285	-0.802885	+0.156297	-0.770016	+0.183015	-0.770016	+0.183016
-1.285467	-0.606703	-1.234634	-0.399586	-1.206139	-0.346851	-1.206139	-0.346855	-1.117286	-0.295677	-1.117285	-0.295683	-0.857847	-0.254994	-0.857846	-0.255189	-0.792885	+0.153064	-0.760016	+0.181663	-0.760016	+0.181663
-1.275467	-0.468137	-1.224634	-0.219341	-1.196139	-0.432806	-1.196139	-0.432802	-1.107286	-0.362581	-1.107285	-0.362596	-0.847847	+0.284884	-0.847846	+0.284851	-0.782885	+0.150212	-0.750016	+0.180934	-0.750016	+0.180935
-1.265467	-0.491684	-1.214634	-0.419064	-1.186139	-0.369887	-1.186139	-0.369871	-1.097286	-0.397076	-1.097285	-0.397098	-0.837847	+0.173165	-0.837846	+0.173151	-0.772885	+0.171692	-0.740016	+0.180279	-0.740016	+0.180279
-1.255467	-0.884427	-1.204634	-0.556562	-1.176139	-0.578019	-1.176139	-0.578024	-1.087286	-0.515503	-1.087285	-0.515511	-0.827847	+0.155624	-0.827846	+0.155620	-0.762885	+0.160160	-0.730016	+0.179640	-0.730016	+0.179640
-1.245467	-0.293089	-1.194634	-0.088575	-1.166139	-0.254004	-1.166139	-0.253981	-1.077286	-0.569877	-1.077285	-0.570006	-0.817847	+0.190427	-0.817846	+0.190422	-0.752885	+0.153843	-0.720016	+0.178859	-0.720016	+0.178859
-1.235467	-0.655157	-1.184634	-0.373361	-1.156139	-0.538685	-1.156139	-0.538674	-1.067286	-0.212636	-1.067285	-0.212664	-0.807847	+0.163188	-0.807846	+0.163185	-0.742885	+0.159858	-0.710016	+0.180341	-0.710016	+0.180342
-1.225467	-0.293387	-1.174634	-0.493461	-1.146139	-0.314130	-1.146139	-0.314112	-1.057286	-0.237660	-1.057285	-0.237673	-0.797847	+0.148772	-0.797846	+0.148770	-0.732885	+0.153423	-0.700016	+0.178343	-0.700016	+0.178343
-1.215467	-0.469523	-1.164634	-0.196635	-1.136139	-0.507147	-1.136139	-0.507156	-1.047286	-0.315720	-1.047285	-0.315739	-0.787847	+0.131018	-0.787846	+0.131014	-0.722885	+0.157686	-0.690016	+0.178094	-0.690016	+0.178095
-1.205467	-0.476721	-1.154634	-0.442295	-1.126139	-0.673357	-1.126139	-0.673333	-1.037286	-0.259539	-1.037285	-0.259552	-0.777847	+0.181505	-0.777846	+0.181482	-0.712885	+0.156127	-0.680016	+0.177258	-0.680016	+0.177258
-1.195467	-0.514328	-1.144634	-0.637490	-1.116139	-0.483671	-1.116139	-0.483656	-1.027286	-0.434076	-1.027285	-0.434089	-0.767847	+0.113435	-0.767846	+0.113426	-0.702885	+0.155143	-0.670016	+0.177038	-0.670016	+0.177038
-1.185467	-0.016674	-1.134634	-0.017239	-1.106139	+0.014051	-1.106139	+0.014050	-1.017286	+0.147791	-1.017285	+0.147790	-0.757847	+0.151609	-0.757846	+0.151607	-0.692885	+0.154391	-0.660016	+0.177969	-0.660016	+0.177969
-1.175467	-0.572521	-1.124634	-0.419539	-1.096139	-0.488533	-1.096139	-0.488542	-1.007286	-0.266212	-1.007285	-0.266242	-0.747847	+0.134954	-0.747846	+0.134953	-0.682885	+0.153671	-0.650016	+0.176567	-0.650016	+0.176567
-1.165467	-0.417195	-1.114634	-0.625949	-1.086139	-0.285459	-1.086139	-0.285467	-0.997286	-0.281761	-0.997285	-0.281767	-0.737847	+0.125531	-0.737846	+0.125531	-0.672885	+0.152978	-0.640016	+0.175758	-0.640016	+0.175758
-1.155467	-0.356375	-1.104634	-0.351589	-1.076139	-0.328157	-1.076139	-0.328224	-0.987286	-0.289837	-0.987285	-0.289838	-0.727847	+0.116218	-0.727846	+0.116217	-0.662885	+0.152167	-0.630016	+0.173162	-0.630016	+0.173162
