#omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6
-0.375283	-0.333538	-0.326210	-0.050017
-0.374283	-0.334447	-0.325210	-0.050599
-0.373283	-0.335355	-0.324210	-0.051158
-0.372283	-0.336261	-0.323210	-0.051697
-0.371283	-0.337168	-0.322210	-0.052220
-0.370283	-0.338075	-0.321210	-0.052728
-0.369283	-0.338983	-0.320210	-0.053224
-0.368283	-0.339894	-0.319210	-0.053711
-0.367283	-0.340808	-0.318210	-0.054189
-0.366283	-0.341727	-0.317210	-0.054663
-0.365283	-0.342651	-0.316210	-0.055132
-0.364283	-0.343581	-0.315210	-0.055600
-0.363283	-0.344520	-0.314210	-0.056068
-0.362283	-0.345467	-0.313210	-0.056539
-0.361283	-0.346426	-0.312210	-0.057014
-0.360283	-0.347397	-0.311210	-0.057497
-0.359283	-0.348382	-0.310210	-0.057989
-0.358283	-0.349384	-0.309210	-0.058493
-0.357283	-0.350405	-0.308210	-0.059014
-0.356283	-0.351447	-0.307210	-0.059553
-0.355283	-0.352514	-0.306210	-0.060117
-0.354283	-0.353608	-0.305210	-0.060709
-0.353283	-0.354734	-0.304210	-0.061336
-0.352283	-0.355896	-0.303210	-0.062005
-0.351283	-0.357099	-0.302210	-0.062726
-0.350283	-0.358349	-0.301210	-0.063509
-0.349283	-0.359652	-0.300210	-0.064369
-0.348283	-0.361017	-0.299210	-0.065325
-0.347283	-0.362453	-0.298210	-0.066400
-0.346283	-0.363972	-0.297210	-0.067629
-0.345283	-0.365587	-0.296210	-0.069056
-0.344283	-0.367314	-0.295210	-0.070746
-0.343283	-0.369175	-0.294210	-0.072792
-0.342283	-0.371193	-0.293210	-0.075340
-0.341283	-0.373402	-0.292210	-0.078616
-0.340283	-0.375840	-0.291210	-0.083002
-0.339283	-0.378562	-0.290210	-0.089175
-0.338283	-0.381635	-0.289210	-0.098367
-0.337283	-0.385152	-0.288210	-0.112492
-0.336283	-0.389241	-0.287210	-0.127150
-0.335283	-0.394082	-0.286210	-0.060310
-0.334283	-0.399937	-0.285210	+0.013504
-0.333283	-0.407204	-0.284210	-0.000309
-0.332283	-0.416508	-0.283210	-0.014703
-0.331283	-0.428890	-0.282210	-0.024077
-0.330283	-0.446171	-0.281210	-0.030346
-0.329283	-0.471676	-0.280210	-0.034780
-0.328283	-0.510934	-0.279210	-0.038073
-0.327283	-0.559573	-0.278210	-0.040620
-0.326283	-0.430677	-0.277210	-0.042652
-0.325283	-0.148631	-0.276210	-0.044317
-0.324283	-0.176655	-0.275210	-0.045711
-0.323283	-0.222251	-0.274210	-0.046900
-0.322283	-0.252284	-0.273210	-0.047928
-0.321283	-0.272229	-0.272210	-0.048830
-0.320283	-0.286255	-0.271210	-0.049631
-0.319283	-0.296658	-0.270210	-0.050348
-0.318283	-0.304732	-0.269210	-0.050996
-0.317283	-0.311264	-0.268210	-0.051587
-0.316283	-0.316777	-0.267210	-0.052129
-0.315283	-0.321663	-0.266210	-0.052630
-0.314283	-0.325956	-0.265210	-0.053094
-0.313283	-0.326256	-0.264210	-0.053528
-0.312283	-0.325528	-0.263210	-0.053935
-0.311283	-0.328546	-0.262210	-0.054317
-0.310283	-0.331366	-0.261210	-0.054679
-0.309283	-0.333747	-0.260210	-0.055022
-0.308283	-0.335812	-0.259210	-0.055349
-0.307283	-0.337645	-0.258210	-0.055660
-0.306283	-0.339299	-0.257210	-0.055959
-0.305283	-0.340810	-0.256210	-0.056245
-0.304283	-0.342203	-0.255210	-0.056520
-0.303283	-0.343497	-0.254210	-0.056785
-0.302283	-0.344707	-0.253210	-0.057041
-0.301283	-0.345843	-0.252210	-0.057289
-0.300283	-0.346916	-0.251210	-0.057529
-0.299283	-0.347931	-0.250210	-0.057762
-0.298283	-0.348897	-0.249210	-0.057989
-0.297283	-0.349818	-0.248210	-0.058210
