#omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6
-0.374111	-0.330432	-0.325455	-0.044240
-0.373111	-0.331248	-0.324455	-0.044776
-0.372111	-0.332065	-0.323455	-0.045296
-0.371111	-0.332885	-0.322455	-0.045801
-0.370111	-0.333708	-0.321455	-0.046293
-0.369111	-0.334536	-0.320455	-0.046776
-0.368111	-0.335370	-0.319455	-0.047249
-0.367111	-0.336209	-0.318455	-0.047717
-0.366111	-0.337055	-0.317455	-0.048180
-0.365111	-0.337910	-0.316455	-0.048639
-0.364111	-0.338774	-0.315455	-0.049098
-0.363111	-0.339649	-0.314455	-0.049558
-0.362111	-0.340537	-0.313455	-0.050021
-0.361111	-0.341438	-0.312455	-0.050488
-0.360111	-0.342354	-0.311455	-0.050962
-0.359111	-0.343289	-0.310455	-0.051445
-0.358111	-0.344243	-0.309455	-0.051941
-0.357111	-0.345219	-0.308455	-0.052451
-0.356111	-0.346221	-0.307455	-0.052979
-0.355111	-0.347250	-0.306455	-0.053528
-0.354111	-0.348312	-0.305455	-0.054105
-0.353111	-0.349410	-0.304455	-0.054712
-0.352111	-0.350549	-0.303455	-0.055358
-0.351111	-0.351735	-0.302455	-0.056049
-0.350111	-0.352973	-0.301455	-0.056795
-0.349111	-0.354272	-0.300455	-0.057607
-0.348111	-0.355641	-0.299455	-0.058501
-0.347111	-0.357090	-0.298455	-0.059495
-0.346111	-0.358632	-0.297455	-0.060614
-0.345111	-0.360283	-0.296455	-0.061893
-0.344111	-0.362062	-0.295455	-0.063376
-0.343111	-0.363993	-0.294455	-0.065130
-0.342111	-0.366104	-0.293455	-0.067247
-0.341111	-0.368434	-0.292455	-0.069869
-0.340111	-0.371031	-0.291455	-0.073220
-0.339111	-0.373958	-0.290455	-0.077666
-0.338111	-0.377299	-0.289455	-0.083848
-0.337111	-0.381170	-0.288455	-0.092936
-0.336111	-0.385731	-0.287455	-0.106921
-0.335111	-0.391215	-0.286455	-0.125300
-0.334111	-0.397967	-0.285455	-0.090079
-0.333111	-0.406526	-0.284455	+0.023601
-0.332111	-0.417768	-0.283455	+0.017165
