#omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6
-0.423926	-0.451961	-0.417515	-0.067401
-0.422926	-0.463464	-0.416515	-0.068049
-0.421926	-0.481103	-0.415515	-0.068686
-0.420926	-0.500655	-0.414515	-0.069311
-0.419926	-0.425322	-0.413515	-0.069925
-0.418926	-0.323076	-0.412515	-0.070529
-0.417926	-0.339333	-0.411515	-0.071122
-0.416926	-0.358046	-0.410515	-0.071705
-0.415926	-0.370299	-0.409515	-0.072279
-0.414926	-0.378508	-0.408515	-0.072843
-0.413926	-0.384332	-0.407515	-0.073399
-0.412926	-0.388677	-0.406515	-0.073946
-0.411926	-0.392056	-0.405515	-0.074485
-0.410926	-0.394773	-0.404515	-0.075016
-0.409926	-0.397017	-0.403515	-0.075540
-0.408926	-0.398912	-0.402515	-0.076056
-0.407926	-0.400543	-0.401515	-0.076564
-0.406926	-0.401970	-0.400515	-0.077067
-0.405926	-0.403235	-0.399515	-0.077562
-0.404926	-0.404369	-0.398515	-0.078051
-0.403926	-0.405398	-0.397515	-0.078534
-0.402926	-0.406338	-0.396515	-0.079010
-0.401926	-0.407205	-0.395515	-0.079481
-0.400926	-0.408010	-0.394515	-0.079947
-0.399926	-0.408761	-0.393515	-0.080407
-0.398926	-0.409467	-0.392515	-0.080861
-0.397926	-0.410134	-0.391515	-0.081311
-0.396926	-0.410766	-0.390515	-0.081756
-0.395926	-0.411367	-0.389515	-0.082196
-0.394926	-0.411942	-0.388515	-0.082631
-0.393926	-0.412494	-0.387515	-0.083062
-0.392926	-0.413024	-0.386515	-0.083489
-0.391926	-0.413535	-0.385515	-0.083911
-0.390926	-0.414030	-0.384515	-0.084330
-0.389926	-0.414509	-0.383515	-0.084745
-0.388926	-0.414974	-0.382515	-0.085156
-0.387926	-0.415428	-0.381515	-0.085563
-0.386926	-0.415869	-0.380515	-0.085967
-0.385926	-0.416301	-0.379515	-0.086367
-0.384926	-0.416724	-0.378515	-0.086764
-0.383926	-0.417138	-0.377515	-0.087158
-0.382926	-0.417545	-0.376515	-0.087549
-0.381926	-0.417945	-0.375515	-0.087937
-0.380926	-0.418340	-0.374515	-0.088323
-0.379926	-0.418730	-0.373515	-0.088705
-0.378926	-0.419115	-0.372515	-0.089085
-0.377926	-0.419497	-0.371515	-0.089463
-0.376926	-0.419877	-0.370515	-0.089838
-0.375926	-0.420256	-0.369515	-0.090211
-0.374926	-0.420635	-0.368515	-0.090581
-0.373926	-0.421016	-0.367515	-0.090950
-0.372926	-0.421400	-0.366515	-0.091317
-0.371926	-0.421792	-0.365515	-0.091681
-0.370926	-0.422194	-0.364515	-0.092044
-0.369926	-0.422614	-0.363515	-0.092406
-0.368926	-0.423059	-0.362515	-0.092765
-0.367926	-0.423547	-0.361515	-0.093123
-0.366926	-0.424104	-0.360515	-0.093480
-0.365926	-0.424780	-0.359515	-0.093836
-0.364926	-0.425655	-0.358515	-0.094190
-0.363926	-0.426656	-0.357515	-0.094543
-0.362926	-0.424943	-0.356515	-0.094895
-0.361926	-0.421193	-0.355515	-0.095247
-0.360926	-0.421917	-0.354515	-0.095598
-0.359926	-0.422863	-0.353515	-0.095948
-0.358926	-0.423579	-0.352515	-0.096297
-0.357926	-0.424147	-0.351515	-0.096646
-0.356926	-0.424626	-0.350515	-0.096995
-0.355926	-0.425050	-0.349515	-0.097344
-0.354926	-0.425438	-0.348515	-0.097693
-0.353926	-0.425801	-0.347515	-0.098042
-0.352926	-0.426144	-0.346515	-0.098391
-0.351926	-0.426474	-0.345515	-0.098741
-0.350926	-0.426793	-0.344515	-0.099091
-0.349926	-0.427103	-0.343515	-0.099442
-0.348926	-0.427406	-0.342515	-0.099794
-0.347926	-0.427702	-0.341515	-0.100147
-0.346926	-0.427994	-0.340515	-0.100502
-0.345926	-0.428281	-0.339515	-0.100858
-0.344926	-0.428564	-0.338515	-0.101216
-0.343926	-0.428844	-0.337515	-0.101576
-0.342926	-0.429120	-0.336515	-0.101938
-0.341926	-0.429394	-0.335515	-0.102303
-0.340926	-0.429665	-0.334515	-0.102671
-0.339926	-0.429934	-0.333515	-0.103043
-0.338926	-0.430201	-0.332515	-0.103418
-0.337926	-0.430466	-0.331515	-0.103797
-0.336926	-0.430729	-0.330515	-0.104180
-0.335926	-0.430991	-0.329515	-0.104569
-0.334926	-0.431251	-0.328515	-0.104963
-0.333926	-0.431509	-0.327515	-0.105364
-0.332926	-0.431766	-0.326515	-0.105771
-0.331926	-0.432022	-0.325515	-0.106186
-0.330926	-0.432276	-0.324515	-0.106609
-0.329926	-0.432529	-0.323515	-0.107042
-0.328926	-0.432782	-0.322515	-0.107485
-0.327926	-0.433033	-0.321515	-0.107939
-0.326926	-0.433283	-0.320515	-0.108407
-0.325926	-0.433533	-0.319515	-0.108889
-0.324926	-0.433781	-0.318515	-0.109387
-0.323926	-0.434029	-0.317515	-0.109904
-0.322926	-0.434276	-0.316515	-0.110442
-0.321926	-0.434523	-0.315515	-0.111003
-0.320926	-0.434768	-0.314515	-0.111590
-0.319926	-0.435014	-0.313515	-0.112209
-0.318926	-0.435258	-0.312515	-0.112862
-0.317926	-0.435503	-0.311515	-0.113557
-0.316926	-0.435747	-0.310515	-0.114299
-0.315926	-0.435990	-0.309515	-0.115097
-0.314926	-0.436233	-0.308515	-0.115960
-0.313926	-0.436476	-0.307515	-0.116903
-0.312926	-0.436719	-0.306515	-0.117941
