#omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21
-0.396504	-0.348895	-0.298381	-0.023214
-0.395504	-0.352485	-0.297381	-0.023404
-0.394504	-0.355764	-0.296381	-0.023592
-0.393504	-0.358854	-0.295381	-0.023778
-0.392504	-0.361859	-0.294381	-0.023962
-0.391504	-0.364883	-0.293381	-0.024144
-0.390504	-0.368056	-0.292381	-0.024324
-0.389504	-0.371570	-0.291381	-0.024503
-0.388504	-0.375732	-0.290381	-0.024679
-0.387504	-0.380732	-0.289381	-0.024854
-0.386504	-0.381356	-0.288381	-0.025027
-0.385504	-0.365343	-0.287381	-0.025198
-0.384504	-0.366262	-0.286381	-0.025368
-0.383504	-0.371625	-0.285381	-0.025537
-0.382504	-0.376360	-0.284381	-0.025704
-0.381504	-0.380706	-0.283381	-0.025869
-0.380504	-0.385044	-0.282381	-0.026034
-0.379504	-0.389697	-0.281381	-0.026197
-0.378504	-0.394981	-0.280381	-0.026359
-0.377504	-0.400400	-0.279381	-0.026519
-0.376504	-0.398564	-0.278381	-0.026679
-0.375504	-0.399925	-0.277381	-0.026837
-0.374504	-0.408009	-0.276381	-0.026995
-0.373504	-0.417423	-0.275381	-0.027151
-0.372504	-0.428620	-0.274381	-0.027306
-0.371504	-0.442855	-0.273381	-0.027461
-0.370504	-0.462126	-0.272381	-0.027614
-0.369504	-0.489942	-0.271381	-0.027767
-0.368504	-0.532352	-0.270381	-0.027918
-0.367504	-0.590672	-0.269381	-0.028069
-0.366504	-0.519794	-0.268381	-0.028219
-0.365504	-0.141205	-0.267381	-0.028368
-0.364504	-0.143398	-0.266381	-0.028517
-0.363504	-0.199457	-0.265381	-0.028664
-0.362504	-0.237285	-0.264381	-0.028812
-0.361504	-0.262165	-0.263381	-0.028958
-0.360504	-0.279441	-0.262381	-0.029104
-0.359504	-0.292083	-0.261381	-0.029249
-0.358504	-0.301737	-0.260381	-0.029393
-0.357504	-0.309369	-0.259381	-0.029537
-0.356504	-0.315571	-0.258381	-0.029680
-0.355504	-0.320729	-0.257381	-0.029823
-0.354504	-0.325100	-0.256381	-0.029965
-0.353504	-0.328864	-0.255381	-0.030107
-0.352504	-0.332151	-0.254381	-0.030248
-0.351504	-0.335055	-0.253381	-0.030388
-0.350504	-0.337647	-0.252381	-0.030529
-0.349504	-0.339981	-0.251381	-0.030668
-0.348504	-0.342101	-0.250381	-0.030808
-0.347504	-0.344039	-0.249381	-0.030947
-0.346504	-0.345823	-0.248381	-0.031085
-0.345504	-0.347473	-0.247381	-0.031223
-0.344504	-0.349008	-0.246381	-0.031361
-0.343504	-0.350443	-0.245381	-0.031498
-0.342504	-0.351790	-0.244381	-0.031635
-0.341504	-0.353058	-0.243381	-0.031772
-0.340504	-0.354257	-0.242381	-0.031908
-0.339504	-0.355394	-0.241381	-0.032044
-0.338504	-0.356476	-0.240381	-0.032180
-0.337504	-0.357508	-0.239381	-0.032316
-0.336504	-0.358494	-0.238381	-0.032451
-0.335504	-0.359439	-0.237381	-0.032586
-0.334504	-0.360347	-0.236381	-0.032721
-0.333504	-0.361221	-0.235381	-0.032855
-0.332504	-0.362063	-0.234381	-0.032989
-0.331504	-0.362877	-0.233381	-0.033123
-0.330504	-0.363664	-0.232381	-0.033257
-0.329504	-0.364426	-0.231381	-0.033391
-0.328504	-0.365165	-0.230381	-0.033524
-0.327504	-0.365883	-0.229381	-0.033658
-0.326504	-0.366582	-0.228381	-0.033791
-0.325504	-0.367262	-0.227381	-0.033924
-0.324504	-0.367924	-0.226381	-0.034056
-0.323504	-0.368571	-0.225381	-0.034189
-0.322504	-0.369202	-0.224381	-0.034322
-0.321504	-0.369820	-0.223381	-0.034454
-0.320504	-0.370423	-0.222381	-0.034587
-0.319504	-0.371014	-0.221381	-0.034719
-0.318504	-0.371593	-0.220381	-0.034851
-0.317504	-0.372161	-0.219381	-0.034983
-0.316504	-0.372718	-0.218381	-0.035115
-0.315504	-0.373265	-0.217381	-0.035247
-0.314504	-0.373802	-0.216381	-0.035379
-0.313504	-0.374330	-0.215381	-0.035511
-0.312504	-0.374850	-0.214381	-0.035642
-0.311504	-0.375360	-0.213381	-0.035774
-0.310504	-0.375863	-0.212381	-0.035906
-0.309504	-0.376359	-0.211381	-0.036038
-0.308504	-0.376847	-0.210381	-0.036169
-0.307504	-0.377328	-0.209381	-0.036301
-0.306504	-0.377802	-0.208381	-0.036433
-0.305504	-0.378270	-0.207381	-0.036564
-0.304504	-0.378732	-0.206381	-0.036696
-0.303504	-0.379188	-0.205381	-0.036828
-0.302504	-0.379638	-0.204381	-0.036960
-0.301504	-0.380083	-0.203381	-0.037091
-0.300504	-0.380522	-0.202381	-0.037223
-0.299504	-0.380956	-0.201381	-0.037355
-0.298504	-0.381386	-0.200381	-0.037487
-0.297504	-0.381811	-0.199381	-0.037619
-0.296504	-0.382231	-0.198381	-0.037751
-0.295504	-0.382646	-0.197381	-0.037884
-0.294504	-0.383058	-0.196381	-0.038016
-0.293504	-0.383465	-0.195381	-0.038148
-0.292504	-0.383869	-0.194381	-0.038281
-0.291504	-0.384268	-0.193381	-0.038414
-0.290504	-0.384664	-0.192381	-0.038546
-0.289504	-0.385056	-0.191381	-0.038679
-0.288504	-0.385444	-0.190381	-0.038812
