#omega_28	E_QP(omega)_28#	omega_29	E_QP(omega)_29
-0.325256	-0.213618	-0.260033	+0.007362
-0.324256	-0.216268	-0.259033	+0.003461
-0.323256	-0.217646	-0.258033	-0.000303
-0.322256	-0.220507	-0.257033	-0.004392
-0.321256	-0.223536	-0.256033	-0.009335
-0.320256	-0.226607	-0.255033	-0.015930
-0.319256	-0.229247	-0.254033	-0.025295
-0.318256	-0.227166	-0.253033	-0.034302
-0.317256	-0.227408	-0.252033	-0.000310
-0.316256	-0.230107	-0.251033	+0.020836
-0.315256	-0.232597	-0.250033	+0.025588
-0.314256	-0.234830	-0.249033	+0.048891
-0.313256	-0.236895	-0.248033	+0.041713
-0.312256	-0.238845	-0.247033	+0.033788
-0.311256	-0.240712	-0.246033	+0.028318
-0.310256	-0.242516	-0.245033	+0.024437
-0.309256	-0.244269	-0.244033	+0.021532
-0.308256	-0.245981	-0.243033	+0.019256
-0.307256	-0.247660	-0.242033	+0.017408
-0.306256	-0.249312	-0.241033	+0.015866
-0.305256	-0.250944	-0.240033	+0.014547
-0.304256	-0.252560	-0.239033	+0.013400
-0.303256	-0.254167	-0.238033	+0.012387
-0.302256	-0.255770	-0.237033	+0.011480
-0.301256	-0.257376	-0.236033	+0.010659
-0.300256	-0.258993	-0.235033	+0.009909
-0.299256	-0.260629	-0.234033	+0.009219
-0.298256	-0.262297	-0.233033	+0.008579
-0.297256	-0.264012	-0.232033	+0.007982
-0.296256	-0.265793	-0.231033	+0.007423
-0.295256	-0.267668	-0.230033	+0.006896
-0.294256	-0.269676	-0.229033	+0.006397
-0.293256	-0.271878	-0.228033	+0.005923
-0.292256	-0.274368	-0.227033	+0.005472
-0.291256	-0.277301	-0.226033	+0.005040
-0.290256	-0.280954	-0.225033	+0.004627
-0.289256	-0.285828	-0.224033	+0.004229
-0.288256	-0.292707	-0.223033	+0.003847
-0.287256	-0.299983	-0.222033	+0.003477
-0.286256	-0.274979	-0.221033	+0.003120
-0.285256	-0.244685	-0.220033	+0.002774
-0.284256	-0.251366	-0.219033	+0.002438
-0.283256	-0.258552	-0.218033	+0.002112
-0.282256	-0.263741	-0.217033	+0.001794
-0.281256	-0.267642	-0.216033	+0.001485
-0.280256	-0.269831	-0.215033	+0.001183
-0.279256	-0.271088	-0.214033	+0.000888
-0.278256	-0.273219	-0.213033	+0.000600
-0.277256	-0.275443	-0.212033	+0.000318
-0.276256	-0.277459	-0.211033	+0.000042
-0.275256	-0.279328	-0.210033	-0.000229
-0.274256	-0.281104	-0.209033	-0.000495
-0.273256	-0.282824	-0.208033	-0.000756
-0.272256	-0.284516	-0.207033	-0.001012
-0.271256	-0.286203	-0.206033	-0.001265
-0.270256	-0.287904	-0.205033	-0.001513
-0.269256	-0.289642	-0.204033	-0.001757
-0.268256	-0.291440	-0.203033	-0.001998
-0.267256	-0.293331	-0.202033	-0.002235
-0.266256	-0.295363	-0.201033	-0.002469
-0.265256	-0.297579	-0.200033	-0.002700
-0.264256	-0.299569	-0.199033	-0.002927
-0.263256	-0.300305	-0.198033	-0.003153
-0.262256	-0.301749	-0.197033	-0.003375
-0.261256	-0.304635	-0.196033	-0.003595
-0.260256	-0.307871	-0.195033	-0.003812
-0.259256	-0.311458	-0.194033	-0.004027
-0.258256	-0.315588	-0.193033	-0.004240
-0.257256	-0.320519	-0.192033	-0.004450
-0.256256	-0.326640	-0.191033	-0.004659
