#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3
-11.226531	-16.894469	-11.225625	-16.899379	 -1.783031	 -3.361134	 -1.598780	 -3.201870
-11.216531	 -8.817393	-11.215625	 -8.822130	 -1.773031	 -0.274537	 -1.588780	 +0.275122
-11.206531	 -9.744578	-11.205625	 -9.751571	 -1.763031	 -1.548534	 -1.578780	 -0.421063
-11.196531	-10.109717	-11.195625	-10.138510	 -1.753031	 -0.064211	 -1.568780	 -0.655583
-11.186531	-10.276100	-11.185625	-10.320761	 -1.743031	 -0.721899	 -1.558780	 -0.858908
-11.176531	 -9.843682	-11.175625	 -9.838609	 -1.733031	 -0.857364	 -1.548780	 -1.241875
-11.166531	-10.346022	-11.165625	-10.370809	 -1.723031	 -0.787183	 -1.538780	 -0.382421
-11.156531	-10.514158	-11.155625	-10.529737	 -1.713031	 -1.041742	 -1.528780	 -0.772410
-11.146531	-11.197166	-11.145625	-11.186268	 -1.703031	 -1.414407	 -1.518780	 -0.491833
-11.136531	-10.658361	-11.135625	-10.729225	 -1.693031	 -0.898893	 -1.508780	 -0.694590
-11.126531	-12.395112	-11.125625	 -8.581005	 -1.683031	 -0.779733	 -1.498780	 -0.989746
-11.116531	-10.046587	-11.115625	-10.152092	 -1.673031	 -0.673997	 -1.488780	 -0.656952
-11.106531	-10.414516	-11.105625	-10.439426	 -1.663031	 -0.990971	 -1.478780	 -0.748570
-11.096531	-10.676389	-11.095625	-10.690540	 -1.653031	 -1.208595	 -1.468780	 -1.056227
-11.086531	-11.772505	-11.085625	-11.782725	 -1.643031	 -1.865876	 -1.458780	 -1.423982
-11.076531	-10.375930	-11.075625	-10.386602	 -1.633031	 +0.076286	 -1.448780	 -0.308045
-11.066531	-10.700651	-11.065625	-10.753042	 -1.623031	 -0.934328	 -1.438780	 -0.870132
-11.056531	-10.563382	-11.055625	-10.635233	 -1.613031	 -1.223133	 -1.428780	 -1.032975
-11.046531	-10.568577	-11.045625	-10.582381	 -1.603031	 -1.226395	 -1.418780	 -1.593250
-11.036531	-10.943436	-11.035625	-10.952374	 -1.593031	 -1.015024	 -1.408780	 +0.552552
-11.026531	-11.633247	-11.025625	-11.643846	 -1.583031	 -1.507445	 -1.398780	 -0.400003
-11.016531	 -9.904661	-11.015625	 -9.922585	 -1.573031	 -0.807976	 -1.388780	 -0.369623
-11.006531	-10.870125	-11.005625	-10.908452	 -1.563031	 -1.139819	 -1.378780	 -0.514216
