#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1
-1.441325	-0.740930	-0.926382	+0.200930
-1.431325	-0.746428	-0.916382	+0.198524
-1.421325	-0.752395	-0.906382	+0.196484
-1.411325	-0.758897	-0.896382	+0.194725
-1.401325	-0.766013	-0.886382	+0.193190
-1.391325	-0.773838	-0.876382	+0.191835
-1.381325	-0.782488	-0.866382	+0.190627
-1.371325	-0.792105	-0.856382	+0.189540
-1.361325	-0.802866	-0.846382	+0.188555
-1.351325	-0.814994	-0.836382	+0.187657
-1.341325	-0.828774	-0.826382	+0.186833
-1.331325	-0.844576	-0.816382	+0.186073
-1.321325	-0.862888	-0.806382	+0.185368
-1.311325	-0.884371	-0.796382	+0.184713
-1.301325	-0.909938	-0.786382	+0.184100
-1.291325	-0.940891	-0.776382	+0.183525
-1.281325	-0.979151	-0.766382	+0.182984
-1.271325	-1.027675	-0.756382	+0.182474
-1.261325	-1.091263	-0.746382	+0.181991
-1.251325	-1.178260	-0.736382	+0.181532
-1.241325	-1.304567	-0.726382	+0.181096
-1.231325	-1.504681	-0.716382	+0.180681
-1.221325	-1.870062	-0.706382	+0.180284
-1.211325	-2.748304	-0.696382	+0.179904
-1.201325	-7.559612	-0.686382	+0.179539
-1.191325	+4.338021	-0.676382	+0.179190
-1.181325	+1.263505	-0.666382	+0.178853
-1.171325	+0.537768	-0.656382	+0.178529
-1.161325	+0.214746	-0.646382	+0.178216
-1.151325	+0.032108	-0.636382	+0.177914
-1.141325	-0.085340	-0.626382	+0.177621
-1.131325	-0.167237	-0.616382	+0.177338
-1.121325	-0.227622	-0.606382	+0.177064
-1.111325	-0.274002	-0.596382	+0.176797
-1.101325	-0.310755	-0.586382	+0.176538
-1.091325	-0.340609	-0.576382	+0.176286
-1.081325	-0.365348	-0.566382	+0.176041
-1.071325	-0.386190	-0.556382	+0.175802
-1.061325	-0.403995	-0.546382	+0.175569
-1.051325	-0.419389	-0.536382	+0.175342
-1.041325	-0.432834	-0.526382	+0.175119
-1.031325	-0.444683	-0.516382	+0.174902
-1.021325	-0.455209	-0.506382	+0.174689
-1.011325	-0.464624	-0.496382	+0.174481
-1.001325	-0.473100	-0.486382	+0.174277
-0.991325	-0.480772	-0.476382	+0.174077
-0.981325	-0.487753	-0.466382	+0.173880
-0.971325	-0.494134	-0.456382	+0.173688
-0.961325	-0.499992	-0.446382	+0.173498
-0.951325	-0.505391	-0.436382	+0.173312
-0.941325	-0.510384	-0.426382	+0.173128
