#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3#	omega_4	E_QP(omega)_4#	omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6#	omega_7	E_QP(omega)_7#	omega_8	E_QP(omega)_8
-20.201806	-18.570893	 -2.040339	 -1.273693	 -1.545824	 -0.150206	 -1.404273	 -0.285319	 -1.327197	 -0.205601	 -0.968415	 +0.136960	 -0.893150	 +0.212432	 -0.626860	 +0.516000	 -0.574995	 +0.561510
-20.191806	-18.608356	 -2.030339	 -1.344606	 -1.535824	 -0.326036	 -1.394273	 -0.292190	 -1.317197	 -0.212055	 -0.958415	 +0.136679	 -0.883150	 +0.212129	 -0.616860	 +0.515732	 -0.564995	 +0.561288
-20.181806	-18.644272	 -2.020339	 -1.410316	 -1.525824	 -0.386564	 -1.384273	 -0.298773	 -1.307197	 -0.218273	 -0.948415	 +0.136401	 -0.873150	 +0.211829	 -0.606860	 +0.515466	 -0.554995	 +0.561068
-20.171806	-18.678749	 -2.010339	 -1.478175	 -1.515824	 -0.418983	 -1.374273	 -0.305091	 -1.297197	 -0.224269	 -0.938415	 +0.136128	 -0.863150	 +0.211533	 -0.596860	 +0.515202	 -0.544995	 +0.560849
-20.161806	-18.711882	 -2.000339	 -1.554303	 -1.505824	 -0.440208	 -1.364273	 -0.311162	 -1.287197	 -0.230055	 -0.928415	 +0.135859	 -0.853150	 +0.211242	 -0.586860	 +0.514940	 -0.534995	 +0.560632
-20.151806	-18.743758	 -1.990339	 -1.648043	 -1.495824	 -0.455795	 -1.354273	 -0.317002	 -1.277197	 -0.235643	 -0.918415	 +0.135593	 -0.843150	 +0.210953	 -0.576860	 +0.514680	 -0.524995	 +0.560416
-20.141806	-18.774454	 -1.980339	 -1.783292	 -1.485824	 -0.468109	 -1.344273	 -0.322627	 -1.267197	 -0.241044	 -0.908415	 +0.135331	 -0.833150	 +0.210668	 -0.566860	 +0.514422	 -0.514995	 +0.560201
-20.131806	-18.804042	 -1.970339	 -2.088328	 -1.475824	 -0.478333	 -1.334273	 -0.328049	 -1.257197	 -0.246269	 -0.898415	 +0.135072	 -0.823150	 +0.210386	 -0.556860	 +0.514165	 -0.504995	 +0.559987
-20.121806	-18.832587	 -1.960339	 -0.957468	 -1.465824	 -0.487128	 -1.324273	 -0.333282	 -1.247197	 -0.251325	 -0.888415	 +0.134817	 -0.813150	 +0.210108	 -0.546860	 +0.513910	 -0.494995	 +0.559775
-20.111806	-18.860146	 -1.950339	 -1.896991	 -1.455824	 -0.494948	 -1.314273	 -0.338336	 -1.237197	 -0.256223	 -0.878415	 +0.134565	 -0.803150	 +0.209832	 -0.536860	 +0.513657	 -0.484995	 +0.559564
-20.101806	-18.886774	 -1.940339	 -3.207026	 -1.445824	 -0.501686	 -1.304273	 -0.343220	 -1.227197	 -0.260972	 -0.868415	 +0.134316	 -0.793150	 +0.209560	 -0.526860	 +0.513406	 -0.474995	 +0.559354
-20.091806	-18.912522	 -1.930339	 -1.156895	 -1.435824	 -0.508074	 -1.294273	 -0.347946	 -1.217197	 -0.265571	 -0.858415	 +0.134069	 -0.783150	 +0.209290	 -0.516860	 +0.513156	 -0.464995	 +0.559145
-20.081806	-18.937435	 -1.920339	 -1.740935	 -1.425824	 -0.513920	 -1.284273	 -0.352520	 -1.207197	 -0.270038	 -0.848415	 +0.133826	 -0.773150	 +0.209024	 -0.506860	 +0.512907	 -0.454995	 +0.558936
-20.071806	-18.961556	 -1.910339	 -2.073793	 -1.415824	 -0.519348	 -1.274273	 -0.356952	 -1.197197	 -0.274373	 -0.838415	 +0.133585	 -0.763150	 +0.208760	 -0.496860	 +0.512660	 -0.444995	 +0.558729
