#omega_9	E_QP(omega)_9#	omega_10	E_QP(omega)_10
-0.326181	-0.182780	-0.308210	+0.012782
-0.325181	-0.195226	-0.307210	+0.011581
-0.324181	-0.211505	-0.306210	+0.010426
-0.323181	-0.234373	-0.305210	+0.009314
-0.322181	-0.264578	-0.304210	+0.008242
-0.321181	-0.237696	-0.303210	+0.007207
-0.320181	-0.066475	-0.302210	+0.006207
-0.319181	-0.069490	-0.301210	+0.005240
-0.318181	-0.098559	-0.300210	+0.004303
-0.317181	-0.119256	-0.299210	+0.003395
-0.316181	-0.133960	-0.298210	+0.002514
-0.315181	-0.145149	-0.297210	+0.001658
-0.314181	-0.154211	-0.296210	+0.000826
-0.313181	-0.161924	-0.295210	+0.000016
-0.312181	-0.168753	-0.294210	-0.000772
-0.311181	-0.174995	-0.293210	-0.001541
-0.310181	-0.180857	-0.292210	-0.002290
-0.309181	-0.186496	-0.291210	-0.003022
-0.308181	-0.192042	-0.290210	-0.003736
-0.307181	-0.197617	-0.289210	-0.004435
-0.306181	-0.203350	-0.288210	-0.005118
-0.305181	-0.209391	-0.287210	-0.005786
-0.304181	-0.215933	-0.286210	-0.006440
-0.303181	-0.223244	-0.285210	-0.007081
-0.302181	-0.231726	-0.284210	-0.007710
-0.301181	-0.242017	-0.283210	-0.008327
-0.300181	-0.255200	-0.282210	-0.008932
-0.299181	-0.273219	-0.281210	-0.009526
-0.298181	-0.299547	-0.280210	-0.010110
-0.297181	-0.337205	-0.279210	-0.010683
-0.296181	-0.332992	-0.278210	-0.011248
-0.295181	-0.090993	-0.277210	-0.011803
-0.294181	-0.059162	-0.276210	-0.012349
-0.293181	-0.097413	-0.275210	-0.012888
-0.292181	-0.125026	-0.274210	-0.013418
-0.291181	-0.143547	-0.273210	-0.013941
-0.290181	-0.156699	-0.272210	-0.014457
-0.289181	-0.166603	-0.271210	-0.014965
-0.288181	-0.174429	-0.270210	-0.015468
-0.287181	-0.180852	-0.269210	-0.015964
-0.286181	-0.186287	-0.268210	-0.016454
-0.285181	-0.191000	-0.267210	-0.016938
-0.284181	-0.195169	-0.266210	-0.017418
-0.283181	-0.198918	-0.265210	-0.017892
-0.282181	-0.202336	-0.264210	-0.018361
-0.281181	-0.205488	-0.263210	-0.018826
-0.280181	-0.208424	-0.262210	-0.019287
-0.279181	-0.211184	-0.261210	-0.019743
-0.278181	-0.213798	-0.260210	-0.020196
-0.277181	-0.216291	-0.259210	-0.020646
-0.276181	-0.218684	-0.258210	-0.021092
-0.275181	-0.220995	-0.257210	-0.021535
-0.274181	-0.223240	-0.256210	-0.021976
-0.273181	-0.225434	-0.255210	-0.022414
-0.272181	-0.227591	-0.254210	-0.022851
-0.271181	-0.229724	-0.253210	-0.023285
-0.270181	-0.231849	-0.252210	-0.023718
-0.269181	-0.233980	-0.251210	-0.024150
-0.268181	-0.236136	-0.250210	-0.024581
-0.267181	-0.238339	-0.249210	-0.025012
-0.266181	-0.240614	-0.248210	-0.025442
-0.265181	-0.242996	-0.247210	-0.025873
-0.264181	-0.245530	-0.246210	-0.026304
-0.263181	-0.248280	-0.245210	-0.026736
-0.262181	-0.251336	-0.244210	-0.027170
-0.261181	-0.254838	-0.243210	-0.027605
-0.260181	-0.259004	-0.242210	-0.028044
-0.259181	-0.264201	-0.241210	-0.028485
-0.258181	-0.271074	-0.240210	-0.028930
-0.257181	-0.280807	-0.239210	-0.029379
-0.256181	-0.295183	-0.238210	-0.029834
-0.255181	-0.309091	-0.237210	-0.030294
-0.254181	-0.241846	-0.236210	-0.030762
-0.253181	-0.179955	-0.235210	-0.031238
-0.252181	-0.194447	-0.234210	-0.031723
-0.251181	-0.208505	-0.233210	-0.032219
-0.250181	-0.217942	-0.232210	-0.032727
-0.249181	-0.224540	-0.231210	-0.033250
-0.248181	-0.229453	-0.230210	-0.033788
-0.247181	-0.233311	-0.229210	-0.034346
-0.246181	-0.236471	-0.228210	-0.034925
-0.245181	-0.239147	-0.227210	-0.035529
-0.244181	-0.241472	-0.226210	-0.036162
-0.243181	-0.243536	-0.225210	-0.036830
-0.242181	-0.245398	-0.224210	-0.037537
-0.241181	-0.247101	-0.223210	-0.038292
-0.240181	-0.248676	-0.222210	-0.039104
-0.239181	-0.250146	-0.221210	-0.039984
-0.238181	-0.251529	-0.220210	-0.040946
-0.237181	-0.252838	-0.219210	-0.042010
-0.236181	-0.254083	-0.218210	-0.043201
-0.235181	-0.255274	-0.217210	-0.044552
-0.234181	-0.256417	-0.216210	-0.046110
-0.233181	-0.257517	-0.215210	-0.047939
-0.232181	-0.258579	-0.214210	-0.050136
-0.231181	-0.259608	-0.213210	-0.052846
-0.230181	-0.260606	-0.212210	-0.056296
-0.229181	-0.261577	-0.211210	-0.060867
-0.228181	-0.262522	-0.210210	-0.067227
-0.227181	-0.263443	-0.209210	-0.076595
-0.226181	-0.264343	-0.208210	-0.090973
-0.225181	-0.265224	-0.207210	-0.108271
-0.224181	-0.266085	-0.206210	-0.056969
-0.223181	-0.266930	-0.205210	+0.040107
-0.222181	-0.267758	-0.204210	+0.028753
-0.221181	-0.268571	-0.203210	+0.012511
-0.220181	-0.269369	-0.202210	+0.001826
-0.219181	-0.270154	-0.201210	-0.005295
-0.218181	-0.270927	-0.200210	-0.010320
-0.217181	-0.271686	-0.199210	-0.014052
-0.216181	-0.272435	-0.198210	-0.016942
-0.215181	-0.273172	-0.197210	-0.019257
-0.214181	-0.273899	-0.196210	-0.021162
-0.213181	-0.274615	-0.195210	-0.022766
-0.212181	-0.275322	-0.194210	-0.024142
-0.211181	-0.276020	-0.193210	-0.025343
-0.210181	-0.276709	-0.192210	-0.026404
-0.209181	-0.277389	-0.191210	-0.027354
-0.208181	-0.278061	-0.190210	-0.028212
-0.207181	-0.278725	-0.189210	-0.028995
-0.206181	-0.279382	-0.188210	-0.029715
-0.205181	-0.280031	-0.187210	-0.030382
-0.204181	-0.280673	-0.186210	-0.031003
-0.203181	-0.281308	-0.185210	-0.031585
-0.202181	-0.281937	-0.184210	-0.032134
-0.201181	-0.282559	-0.183210	-0.032652
-0.200181	-0.283175	-0.182210	-0.033145
-0.199181	-0.283785	-0.181210	-0.033615
-0.198181	-0.284390	-0.180210	-0.034065
-0.197181	-0.284988	-0.179210	-0.034496
-0.196181	-0.285582	-0.178210	-0.034912
-0.195181	-0.286170	-0.177210	-0.035312
-0.194181	-0.286753	-0.176210	-0.035699
-0.193181	-0.287331	-0.175210	-0.036074
-0.192181	-0.287904	-0.174210	-0.036438
-0.191181	-0.288473	-0.173210	-0.036792
-0.190181	-0.289037	-0.172210	-0.037137
-0.189181	-0.289597	-0.171210	-0.037474
-0.188181	-0.290153	-0.170210	-0.037802
-0.187181	-0.290705	-0.169210	-0.038124
-0.186181	-0.291253	-0.168210	-0.038438
-0.185181	-0.291797	-0.167210	-0.038747
-0.184181	-0.292337	-0.166210	-0.039050
-0.183181	-0.292874	-0.165210	-0.039347
-0.182181	-0.293408	-0.164210	-0.039639
-0.181181	-0.293939	-0.163210	-0.039927
-0.180181	-0.294466	-0.162210	-0.040210
-0.179181	-0.294991	-0.161210	-0.040489
-0.178181	-0.295513	-0.160210	-0.040765
-0.177181	-0.296032	-0.159210	-0.041036
-0.176181	-0.296549	-0.158210	-0.041305
-0.175181	-0.297063	-0.157210	-0.041570
-0.174181	-0.297575	-0.156210	-0.041831
-0.173181	-0.298086	-0.155210	-0.042090
-0.172181	-0.298594	-0.154210	-0.042347
-0.171181	-0.299101	-0.153210	-0.042600
-0.170181	-0.299606	-0.152210	-0.042851
-0.169181	-0.300111	-0.151210	-0.043100
-0.168181	-0.300614	-0.150210	-0.043347
-0.167181	-0.301116	-0.149210	-0.043591
-0.166181	-0.301618	-0.148210	-0.043833
-0.165181	-0.302119	-0.147210	-0.044074
-0.164181	-0.302621	-0.146210	-0.044312
-0.163181	-0.303122	-0.145210	-0.044549
-0.162181	-0.303625	-0.144210	-0.044784
-0.161181	-0.304128	-0.143210	-0.045018
-0.160181	-0.304633	-0.142210	-0.045250
-0.159181	-0.305139	-0.141210	-0.045481
-0.158181	-0.305648	-0.140210	-0.045710
-0.157181	-0.306160	-0.139210	-0.045938
-0.156181	-0.306676	-0.138210	-0.046165
-0.155181	-0.307196	-0.137210	-0.046390
-0.154181	-0.307721	-0.136210	-0.046614
-0.153181	-0.308252	-0.135210	-0.046837
-0.152181	-0.308791	-0.134210	-0.047059
-0.151181	-0.309338	-0.133210	-0.047281
-0.150181	-0.309895	-0.132210	-0.047501
-0.149181	-0.310464	-0.131210	-0.047720
-0.148181	-0.311047	-0.130210	-0.047938
-0.147181	-0.311647	-0.129210	-0.048156
