#omega_9	E_QP(omega)_9#	omega_10	E_QP(omega)_10
-0.326065	-0.137679	-0.307662	+0.005711
-0.325065	-0.145366	-0.306662	+0.004494
-0.324065	-0.153325	-0.305662	+0.003326
-0.323065	-0.161776	-0.304662	+0.002202
-0.322065	-0.171056	-0.303662	+0.001120
-0.321065	-0.181717	-0.302662	+0.000076
-0.320065	-0.194724	-0.301662	-0.000931
-0.319065	-0.211827	-0.300662	-0.001906
-0.318065	-0.235669	-0.299662	-0.002849
-0.317065	-0.258963	-0.298662	-0.003762
-0.316065	-0.163637	-0.297662	-0.004648
-0.315065	-0.073503	-0.296662	-0.005509
-0.314065	-0.097177	-0.295662	-0.006345
-0.313065	-0.120384	-0.294662	-0.007158
-0.312065	-0.136748	-0.293662	-0.007950
-0.311065	-0.148918	-0.292662	-0.008721
-0.310065	-0.158620	-0.291662	-0.009473
-0.309065	-0.166812	-0.290662	-0.010206
-0.308065	-0.174054	-0.289662	-0.010923
-0.307065	-0.180696	-0.288662	-0.011623
-0.306065	-0.186985	-0.287662	-0.012307
-0.305065	-0.193114	-0.286662	-0.012977
-0.304065	-0.199255	-0.285662	-0.013632
-0.303065	-0.205589	-0.284662	-0.014275
-0.302065	-0.212333	-0.283662	-0.014904
-0.301065	-0.219781	-0.282662	-0.015522
-0.300065	-0.228367	-0.281662	-0.016127
-0.299065	-0.238796	-0.280662	-0.016722
-0.298065	-0.252292	-0.279662	-0.017307
-0.297065	-0.271074	-0.278662	-0.017881
-0.296065	-0.298577	-0.277662	-0.018446
-0.295065	-0.327112	-0.276662	-0.019001
-0.294065	-0.210609	-0.275662	-0.019548
-0.293065	-0.079316	-0.274662	-0.020087
-0.292065	-0.105851	-0.273662	-0.020618
-0.291065	-0.133559	-0.272662	-0.021141
-0.290065	-0.152208	-0.271662	-0.021657
-0.289065	-0.165232	-0.270662	-0.022166
-0.288065	-0.174914	-0.269662	-0.022669
-0.287065	-0.182508	-0.268662	-0.023165
-0.286065	-0.188721	-0.267662	-0.023656
-0.285065	-0.193976	-0.266662	-0.024140
-0.284065	-0.198539	-0.265662	-0.024620
-0.283065	-0.202586	-0.264662	-0.025094
-0.282065	-0.206236	-0.263662	-0.025564
-0.281065	-0.209575	-0.262662	-0.026029
-0.280065	-0.212667	-0.261662	-0.026490
-0.279065	-0.215558	-0.260662	-0.026947
-0.278065	-0.218285	-0.259662	-0.027400
-0.277065	-0.220876	-0.258662	-0.027850
-0.276065	-0.223356	-0.257662	-0.028297
-0.275065	-0.225744	-0.256662	-0.028740
-0.274065	-0.228058	-0.255662	-0.029182
-0.273065	-0.230314	-0.254662	-0.029620
-0.272065	-0.232524	-0.253662	-0.030057
-0.271065	-0.234705	-0.252662	-0.030492
-0.270065	-0.236869	-0.251662	-0.030926
-0.269065	-0.239033	-0.250662	-0.031358
-0.268065	-0.241213	-0.249662	-0.031790
-0.267065	-0.243429	-0.248662	-0.032221
-0.266065	-0.245706	-0.247662	-0.032652
-0.265065	-0.248075	-0.246662	-0.033083
-0.264065	-0.250578	-0.245662	-0.033515
-0.263065	-0.253270	-0.244662	-0.033948
-0.262065	-0.256234	-0.243662	-0.034382
-0.261065	-0.259591	-0.242662	-0.034819
-0.260065	-0.263531	-0.241662	-0.035258
-0.259065	-0.268369	-0.240662	-0.035700
-0.258065	-0.274655	-0.239662	-0.036146
-0.257065	-0.283392	-0.238662	-0.036597
-0.256065	-0.296244	-0.237662	-0.037053
-0.255065	-0.311895	-0.236662	-0.037515
-0.254065	-0.274052	-0.235662	-0.037985
-0.253065	-0.190122	-0.234662	-0.038463
