#omega_30	E_QP(omega)_30#	omega_31	E_QP(omega)_31#	omega_32	E_QP(omega)_32#	omega_33	E_QP(omega)_33#	omega_34	E_QP(omega)_34#	omega_35	E_QP(omega)_35#	omega_36	E_QP(omega)_36#	omega_37	E_QP(omega)_37#	omega_38	E_QP(omega)_38#	omega_39	E_QP(omega)_39#	omega_40	E_QP(omega)_40
-1.344978	-0.314887	-1.302588	-0.290088	-1.261136	-0.263422	-1.232987	-0.308398	-1.042688	+0.071563	-1.014028	+0.115090	-0.981949	+0.186947	-0.943327	+0.156543	-0.930258	+0.174956	-0.927832	+0.168420	-0.904036	+0.276833
-1.334978	-0.355088	-1.292588	-0.417324	-1.251136	-0.204347	-1.222987	-0.263228	-1.032688	+0.018636	-1.004028	+0.111607	-0.971949	+0.176021	-0.933327	+0.158129	-0.920258	+0.171984	-0.917832	+0.184938	-0.894036	+0.255823
-1.324978	-0.201284	-1.282588	-0.298306	-1.241136	-0.193233	-1.212987	-0.115582	-1.022688	+0.217401	-0.994028	+0.174812	-0.961949	+0.155438	-0.923327	+0.168070	-0.910258	+0.173851	-0.907832	+0.181684	-0.884036	+0.240562
-1.314978	-0.366256	-1.272588	-0.316202	-1.231136	-0.261201	-1.202987	-0.206540	-1.012688	+0.196577	-0.984028	+0.141310	-0.951949	+0.185394	-0.913327	+0.166628	-0.900258	+0.179339	-0.897832	+0.172388	-0.874036	+0.261452
-1.304978	-0.190264	-1.262588	-0.104154	-1.221136	-0.267132	-1.192987	-0.268494	-1.002688	+0.122200	-0.974028	+0.139045	-0.941949	+0.180719	-0.903327	+0.163355	-0.890258	+0.176550	-0.887832	+0.170554	-0.864036	+0.252986
-1.294978	-0.224674	-1.252588	-0.169074	-1.211136	-0.225986	-1.182987	-0.180809	-0.992688	+0.083334	-0.964028	+0.120695	-0.931949	+0.159991	-0.893327	+0.163525	-0.880258	+0.173399	-0.877832	+0.164003	-0.854036	+0.222840
-1.284978	-0.234702	-1.242588	-0.212972	-1.201136	-0.324183	-1.172987	-0.241183	-0.982688	+0.097537	-0.954028	+0.086388	-0.921949	+0.114851	-0.883327	+0.171718	-0.870258	+0.169992	-0.867832	+0.182625	-0.844036	+0.204711
-1.274978	-0.428749	-1.232588	-0.300731	-1.191136	-0.349251	-1.162987	-0.252946	-0.972688	+0.133076	-0.944028	+0.118918	-0.911949	+0.064023	-0.873327	+0.164636	-0.860258	+0.168062	-0.857832	+0.175686	-0.834036	+0.075300
-1.264978	-0.400476	-1.222588	-0.276552	-1.181136	-0.309064	-1.152987	-0.187178	-0.962688	+0.104900	-0.934028	+0.133099	-0.901949	+0.222960	-0.863327	+0.160939	-0.850258	+0.171048	-0.847832	+0.164632	-0.824036	+0.224580
-1.254978	-0.267554	-1.212588	-0.350726	-1.171136	-0.294418	-1.142987	-0.180678	-0.952688	+0.069354	-0.924028	+0.111048	-0.891949	+0.188298	-0.853327	+0.163474	-0.840258	+0.168011	-0.837832	+0.183239	-0.814036	+0.238533
-1.244978	-0.383580	-1.202588	-0.277512	-1.161136	-0.253239	-1.132987	-0.242483	-0.942688	+0.069820	-0.914028	+0.097626	-0.881949	+0.146650	-0.843327	+0.156219	-0.830258	+0.165330	-0.827832	+0.171908	-0.804036	+0.277083
-1.234978	-0.398941	-1.192588	-0.300889	-1.151136	-0.271240	-1.122987	-0.143348	-0.932688	+0.108046	-0.904028	+0.157936	-0.871949	+0.140733	-0.833327	+0.160847	-0.820258	+0.172627	-0.817832	+0.168427	-0.794036	+0.281064
-1.224978	-0.314677	-1.182588	-0.316649	-1.141136	-0.278985	-1.112987	-0.317183	-0.922688	+0.110587	-0.894028	+0.195499	-0.861949	+0.247357	-0.823327	+0.161871	-0.810258	+0.168824	-0.807832	+0.165564	-0.784036	+0.272741
-1.214978	-0.385363	-1.172588	-0.353651	-1.131136	-0.245703	-1.102987	-0.224018	-0.912688	+0.142418	-0.884028	+0.162657	-0.851949	+0.217021	-0.813327	+0.165400	-0.800258	+0.160063	-0.797832	+0.167128	-0.774036	+0.250727
-1.204978	-0.409025	-1.162588	-0.304026	-1.121136	-0.333746	-1.092987	-0.276320	-0.902688	+0.126679	-0.874028	+0.136529	-0.841949	+0.178044	-0.803327	+0.160139	-0.790258	+0.163327	-0.787832	+0.165595	-0.764036	+0.233280
-1.194978	-0.369517	-1.152588	-0.418648	-1.111136	-0.169555	-1.082987	-0.244171	-0.892688	+0.092432	-0.864028	+0.092838	-0.831949	+0.168035	-0.793327	+0.162824	-0.780258	+0.169066	-0.777832	+0.161345	-0.754036	+0.217717
-1.184978	-0.221842	-1.142588	-0.249677	-1.101136	-0.181968	-1.072987	-0.228732	-0.882688	+0.077703	-0.854028	+0.179698	-0.821949	+0.154637	-0.783327	+0.157657	-0.770258	+0.170294	-0.767832	+0.174970	-0.744036	+0.106268
-1.174978	-0.324035	-1.132588	-0.330526	-1.091136	-0.243232	-1.062987	-0.108727	-0.872688	+0.091262	-0.844028	+0.146665	-0.811949	+0.138397	-0.773327	+0.157119	-0.760258	+0.169430	-0.757832	+0.166499	-0.734036	+0.242328
-1.164978	-0.376438	-1.122588	-0.291077	-1.081136	-0.249620	-1.052987	-0.198175	-0.862688	+0.063678	-0.834028	+0.136639	-0.801949	+0.136552	-0.763327	+0.151303	-0.750258	+0.165779	-0.747832	+0.164572	-0.724036	+0.244997
-1.154978	-0.348302	-1.112588	-0.244079	-1.071136	-0.223008	-1.042987	-0.188080	-0.852688	+0.183835	-0.824028	+0.162073	-0.791949	+0.108064	-0.753327	+0.149312	-0.740258	+0.166852	-0.737832	+0.162881	-0.714036	+0.254284
-1.144978	-0.379825	-1.102588	-0.447103	-1.061136	-0.430039	-1.032987	-0.283013	-0.842688	+0.212410	-0.814028	+0.127477	-0.781949	+0.171646	-0.743327	+0.154767	-0.730258	+0.164176	-0.727832	+0.161247	-0.704036	+0.258796
-1.134978	-0.270814	-1.092588	-0.377681	-1.051136	-0.236879	-1.022987	-0.209710	-0.832688	+0.146707	-0.804028	+0.103668	-0.771949	+0.206387	-0.733327	+0.157265	-0.720258	+0.166371	-0.717832	+0.151441	-0.694036	+0.231188
-1.124978	-0.315323	-1.082588	-0.200778	-1.041136	-0.247456	-1.012987	-0.172850	-0.822688	+0.118457	-0.794028	+0.127551	-0.761949	+0.153484	-0.723327	+0.155032	-0.710258	+0.165997	-0.707832	+0.165261	-0.684036	+0.198728
-1.114978	-0.241159	-1.072588	-0.300849	-1.031136	-0.334737	-1.002987	-0.225293	-0.812688	+0.098179	-0.784028	+0.102814	-0.751949	+0.153007	-0.713327	+0.155012	-0.700258	+0.164055	-0.697832	+0.161493	-0.674036	+0.199292
-1.104978	-0.270430	-1.062588	-0.330325	-1.021136	-0.116326	-0.992987	-0.249619	-0.802688	+0.064492	-0.774028	+0.101531	-0.741949	+0.145387	-0.703327	+0.153136	-0.690258	+0.162706	-0.687832	+0.163694	-0.664036	+0.148761
-1.094978	-0.409413	-1.052588	-0.263432	-1.011136	-0.184223	-0.982987	-0.288935	-0.792688	+0.107649	-0.764028	+0.078729	-0.731949	+0.135864	-0.693327	+0.152224	-0.680258	+0.162837	-0.677832	+0.162867	-0.654036	+0.323152
-1.084978	-0.444566	-1.042588	-0.593238	-1.001136	-0.330182	-0.972987	-0.276743	-0.782688	+0.077989	-0.754028	+0.049374	-0.721949	+0.117147	-0.683327	+0.149996	-0.670258	+0.162008	-0.667832	+0.161188	-0.644036	+0.183799
