#omega_11	E_QP(omega)_11#	omega_12	E_QP(omega)_12
-0.439884	-0.439563	-0.374122	+0.055672
-0.438884	-0.441116	-0.373122	+0.044428
-0.437884	-0.442816	-0.372122	+0.036109
-0.436884	-0.444708	-0.371122	+0.029680
-0.435884	-0.446853	-0.370122	+0.024536
-0.434884	-0.449340	-0.369122	+0.020304
-0.433884	-0.452304	-0.368122	+0.016743
-0.432884	-0.455950	-0.367122	+0.013692
-0.431884	-0.460618	-0.366122	+0.011036
-0.430884	-0.466892	-0.365122	+0.008694
-0.429884	-0.475828	-0.364122	+0.006606
-0.428884	-0.489300	-0.363122	+0.004725
-0.427884	-0.508446	-0.362122	+0.003018
-0.426884	-0.497412	-0.361122	+0.001456
-0.425884	-0.370657	-0.360122	+0.000017
-0.424884	-0.363044	-0.359122	-0.001316
-0.423884	-0.382056	-0.358122	-0.002557
-0.422884	-0.395279	-0.357122	-0.003719
-0.421884	-0.404035	-0.356122	-0.004810
-0.420884	-0.410163	-0.355122	-0.005840
-0.419884	-0.414699	-0.354122	-0.006815
-0.418884	-0.418214	-0.353122	-0.007740
-0.417884	-0.421041	-0.352122	-0.008622
-0.416884	-0.423382	-0.351122	-0.009465
-0.415884	-0.425369	-0.350122	-0.010272
-0.414884	-0.427089	-0.349122	-0.011046
-0.413884	-0.428604	-0.348122	-0.011791
-0.412884	-0.429957	-0.347122	-0.012508
-0.411884	-0.431180	-0.346122	-0.013201
-0.410884	-0.432297	-0.345122	-0.013872
-0.409884	-0.433326	-0.344122	-0.014521
-0.408884	-0.434282	-0.343122	-0.015151
-0.407884	-0.435174	-0.342122	-0.015763
-0.406884	-0.436014	-0.341122	-0.016358
-0.405884	-0.436807	-0.340122	-0.016937
-0.404884	-0.437559	-0.339122	-0.017502
-0.403884	-0.438277	-0.338122	-0.018054
-0.402884	-0.438963	-0.337122	-0.018592
-0.401884	-0.439621	-0.336122	-0.019119
-0.400884	-0.440254	-0.335122	-0.019635
-0.399884	-0.440864	-0.334122	-0.020140
-0.398884	-0.441455	-0.333122	-0.020635
-0.397884	-0.442027	-0.332122	-0.021120
-0.396884	-0.442582	-0.331122	-0.021597
-0.395884	-0.443121	-0.330122	-0.022065
-0.394884	-0.443647	-0.329122	-0.022525
-0.393884	-0.444159	-0.328122	-0.022978
-0.392884	-0.444659	-0.327122	-0.023424
-0.391884	-0.445148	-0.326122	-0.023862
-0.390884	-0.445626	-0.325122	-0.024294
-0.389884	-0.446095	-0.324122	-0.024720
-0.388884	-0.446554	-0.323122	-0.025139
-0.387884	-0.447005	-0.322122	-0.025553
-0.386884	-0.447448	-0.321122	-0.025962
-0.385884	-0.447883	-0.320122	-0.026365
-0.384884	-0.448311	-0.319122	-0.026763
-0.383884	-0.448732	-0.318122	-0.027157
-0.382884	-0.449146	-0.317122	-0.027546
-0.381884	-0.449554	-0.316122	-0.027930
-0.380884	-0.449957	-0.315122	-0.028310
-0.379884	-0.450354	-0.314122	-0.028686
-0.378884	-0.450745	-0.313122	-0.029058
-0.377884	-0.451132	-0.312122	-0.029426
-0.376884	-0.451513	-0.311122	-0.029790
-0.375884	-0.451890	-0.310122	-0.030151
-0.374884	-0.452263	-0.309122	-0.030509
-0.373884	-0.452631	-0.308122	-0.030863
-0.372884	-0.452995	-0.307122	-0.031214
-0.371884	-0.453355	-0.306122	-0.031561
-0.370884	-0.453711	-0.305122	-0.031906
-0.369884	-0.454064	-0.304122	-0.032248
-0.368884	-0.454413	-0.303122	-0.032587
-0.367884	-0.454759	-0.302122	-0.032923
-0.366884	-0.455101	-0.301122	-0.033256
-0.365884	-0.455440	-0.300122	-0.033587
-0.364884	-0.455776	-0.299122	-0.033915
-0.363884	-0.456109	-0.298122	-0.034241
-0.362884	-0.456439	-0.297122	-0.034565
-0.361884	-0.456766	-0.296122	-0.034886
-0.360884	-0.457091	-0.295122	-0.035205
-0.359884	-0.457413	-0.294122	-0.035521
-0.358884	-0.457732	-0.293122	-0.035836
-0.357884	-0.458049	-0.292122	-0.036149
-0.356884	-0.458363	-0.291122	-0.036459
-0.355884	-0.458675	-0.290122	-0.036767
-0.354884	-0.458984	-0.289122	-0.037074
-0.353884	-0.459292	-0.288122	-0.037379
-0.352884	-0.459597	-0.287122	-0.037681
-0.351884	-0.459900	-0.286122	-0.037983
-0.350884	-0.460201	-0.285122	-0.038282
-0.349884	-0.460500	-0.284122	-0.038579
-0.348884	-0.460797	-0.283122	-0.038875
-0.347884	-0.461092	-0.282122	-0.039169
-0.346884	-0.461385	-0.281122	-0.039462
-0.345884	-0.461676	-0.280122	-0.039753
-0.344884	-0.461966	-0.279122	-0.040043
-0.343884	-0.462254	-0.278122	-0.040331
-0.342884	-0.462540	-0.277122	-0.040617
-0.341884	-0.462824	-0.276122	-0.040902
-0.340884	-0.463107	-0.275122	-0.041186
-0.339884	-0.463388	-0.274122	-0.041468
-0.338884	-0.463667	-0.273122	-0.041749
-0.337884	-0.463945	-0.272122	-0.042029
-0.336884	-0.464222	-0.271122	-0.042308
-0.335884	-0.464496	-0.270122	-0.042585
-0.334884	-0.464770	-0.269122	-0.042861
-0.333884	-0.465042	-0.268122	-0.043135
-0.332884	-0.465313	-0.267122	-0.043409
-0.331884	-0.465582	-0.266122	-0.043681
-0.330884	-0.465850	-0.265122	-0.043952
-0.329884	-0.466117	-0.264122	-0.044222
-0.328884	-0.466382	-0.263122	-0.044491
-0.327884	-0.466646	-0.262122	-0.044759
-0.326884	-0.466909	-0.261122	-0.045025
-0.325884	-0.467171	-0.260122	-0.045291
-0.324884	-0.467431	-0.259122	-0.045556
-0.323884	-0.467690	-0.258122	-0.045819
-0.322884	-0.467949	-0.257122	-0.046082
-0.321884	-0.468206	-0.256122	-0.046344
-0.320884	-0.468461	-0.255122	-0.046604
-0.319884	-0.468716	-0.254122	-0.046864
-0.318884	-0.468970	-0.253122	-0.047123
-0.317884	-0.469223	-0.252122	-0.047381
-0.316884	-0.469474	-0.251122	-0.047638
-0.315884	-0.469725	-0.250122	-0.047894
-0.314884	-0.469975	-0.249122	-0.048149
-0.313884	-0.470223	-0.248122	-0.048404
-0.312884	-0.470471	-0.247122	-0.048657
-0.311884	-0.470718	-0.246122	-0.048910
-0.310884	-0.470964	-0.245122	-0.049162
-0.309884	-0.471209	-0.244122	-0.049413
-0.308884	-0.471453	-0.243122	-0.049663
-0.307884	-0.471696	-0.242122	-0.049913
-0.306884	-0.471938	-0.241122	-0.050162
-0.305884	-0.472180	-0.240122	-0.050410
-0.304884	-0.472421	-0.239122	-0.050657
-0.303884	-0.472660	-0.238122	-0.050904
-0.302884	-0.472899	-0.237122	-0.051150
-0.301884	-0.473138	-0.236122	-0.051395
-0.300884	-0.473375	-0.235122	-0.051639
-0.299884	-0.473612	-0.234122	-0.051883
-0.298884	-0.473848	-0.233122	-0.052126
-0.297884	-0.474083	-0.232122	-0.052369
-0.296884	-0.474318	-0.231122	-0.052610
-0.295884	-0.474551	-0.230122	-0.052852
-0.294884	-0.474785	-0.229122	-0.053092
-0.293884	-0.475017	-0.228122	-0.053332
-0.292884	-0.475249	-0.227122	-0.053571
-0.291884	-0.475480	-0.226122	-0.053810
-0.290884	-0.475710	-0.225122	-0.054048
-0.289884	-0.475940	-0.224122	-0.054286
-0.288884	-0.476169	-0.223122	-0.054522
-0.287884	-0.476398	-0.222122	-0.054759
-0.286884	-0.476626	-0.221122	-0.054995
-0.285884	-0.476853	-0.220122	-0.055230
-0.284884	-0.477080	-0.219122	-0.055465
-0.283884	-0.477307	-0.218122	-0.055699
-0.282884	-0.477532	-0.217122	-0.055932
-0.281884	-0.477758	-0.216122	-0.056166
-0.280884	-0.477982	-0.215122	-0.056398
-0.279884	-0.478206	-0.214122	-0.056630
-0.278884	-0.478430	-0.213122	-0.056862
-0.277884	-0.478653	-0.212122	-0.057093
-0.276884	-0.478876	-0.211122	-0.057324
-0.275884	-0.479098	-0.210122	-0.057554
-0.274884	-0.479320	-0.209122	-0.057783
-0.273884	-0.479541	-0.208122	-0.058013
-0.272884	-0.479762	-0.207122	-0.058241
-0.271884	-0.479983	-0.206122	-0.058470
-0.270884	-0.480203	-0.205122	-0.058698
-0.269884	-0.480422	-0.204122	-0.058925
-0.268884	-0.480642	-0.203122	-0.059152
-0.267884	-0.480861	-0.202122	-0.059379
-0.266884	-0.481079	-0.201122	-0.059605
-0.265884	-0.481297	-0.200122	-0.059830
-0.264884	-0.481515	-0.199122	-0.060056
-0.263884	-0.481733	-0.198122	-0.060281
-0.262884	-0.481950	-0.197122	-0.060505
-0.261884	-0.482167	-0.196122	-0.060729
-0.260884	-0.482383	-0.195122	-0.060953
-0.259884	-0.482599	-0.194122	-0.061177
-0.258884	-0.482815	-0.193122	-0.061400
-0.257884	-0.483031	-0.192122	-0.061622
-0.256884	-0.483247	-0.191122	-0.061845
-0.255884	-0.483462	-0.190122	-0.062066
-0.254884	-0.483677	-0.189122	-0.062288
-0.253884	-0.483892	-0.188122	-0.062509
-0.252884	-0.484107	-0.187122	-0.062730
-0.251884	-0.484321	-0.186122	-0.062951
-0.250884	-0.484535	-0.185122	-0.063171
-0.249884	-0.484749	-0.184122	-0.063391
-0.248884	-0.484963	-0.183122	-0.063610
-0.247884	-0.485177	-0.182122	-0.063830
-0.246884	-0.485391	-0.181122	-0.064049
-0.245884	-0.485605	-0.180122	-0.064267
-0.244884	-0.485818	-0.179122	-0.064486
-0.243884	-0.486032	-0.178122	-0.064704
-0.242884	-0.486245	-0.177122	-0.064922
-0.241884	-0.486459	-0.176122	-0.065139
-0.240884	-0.486672	-0.175122	-0.065356
-0.239884	-0.486885	-0.174122	-0.065573
-0.238884	-0.487099	-0.173122	-0.065790
-0.237884	-0.487312	-0.172122	-0.066006
-0.236884	-0.487526	-0.171122	-0.066222
-0.235884	-0.487739	-0.170122	-0.066438
-0.234884	-0.487953	-0.169122	-0.066654
-0.233884	-0.488167	-0.168122	-0.066869
-0.232884	-0.488381	-0.167122	-0.067084
-0.231884	-0.488595	-0.166122	-0.067299
-0.230884	-0.488809	-0.165122	-0.067514
-0.229884	-0.489023	-0.164122	-0.067728
-0.228884	-0.489238	-0.163122	-0.067942
-0.227884	-0.489453	-0.162122	-0.068156
-0.226884	-0.489668	-0.161122	-0.068370
-0.225884	-0.489883	-0.160122	-0.068583
-0.224884	-0.490099	-0.159122	-0.068796
-0.223884	-0.490315	-0.158122	-0.069010
-0.222884	-0.490532	-0.157122	-0.069222
-0.221884	-0.490749	-0.156122	-0.069435
-0.220884	-0.490966	-0.155122	-0.069647
-0.219884	-0.491184	-0.154122	-0.069860
-0.218884	-0.491402	-0.153122	-0.070072
-0.217884	-0.491621	-0.152122	-0.070284
-0.216884	-0.491841	-0.151122	-0.070495
-0.215884	-0.492061	-0.150122	-0.070707
-0.214884	-0.492281	-0.149122	-0.070918
-0.213884	-0.492503	-0.148122	-0.071129
-0.212884	-0.492725	-0.147122	-0.071340
-0.211884	-0.492948	-0.146122	-0.071551
-0.210884	-0.493172	-0.145122	-0.071762
-0.209884	-0.493397	-0.144122	-0.071972
-0.208884	-0.493622	-0.143122	-0.072182
-0.207884	-0.493849	-0.142122	-0.072393
-0.206884	-0.494077	-0.141122	-0.072603
-0.205884	-0.494306	-0.140122	-0.072812
-0.204884	-0.494536	-0.139122	-0.073022
-0.203884	-0.494767	-0.138122	-0.073232
-0.202884	-0.495000	-0.137122	-0.073441
-0.201884	-0.495234	-0.136122	-0.073651
-0.200884	-0.495469	-0.135122	-0.073860
-0.199884	-0.495707	-0.134122	-0.074069
-0.198884	-0.495945	-0.133122	-0.074278
-0.197884	-0.496186	-0.132122	-0.074487
-0.196884	-0.496429	-0.131122	-0.074695
-0.195884	-0.496673	-0.130122	-0.074904
-0.194884	-0.496920	-0.129122	-0.075112
-0.193884	-0.497169	-0.128122	-0.075321
-0.192884	-0.497420	-0.127122	-0.075529
-0.191884	-0.497674	-0.126122	-0.075737
-0.190884	-0.497930	-0.125122	-0.075945
-0.189884	-0.498189	-0.124122	-0.076153
-0.188884	-0.498452	-0.123122	-0.076361
-0.187884	-0.498717	-0.122122	-0.076569
-0.186884	-0.498986	-0.121122	-0.076777
-0.185884	-0.499259	-0.120122	-0.076984
-0.184884	-0.499535	-0.119122	-0.077192
-0.183884	-0.499816	-0.118122	-0.077399
-0.182884	-0.500101	-0.117122	-0.077607
-0.181884	-0.500390	-0.116122	-0.077814
-0.180884	-0.500685	-0.115122	-0.078021
-0.179884	-0.500986	-0.114122	-0.078229
-0.178884	-0.501292	-0.113122	-0.078436
-0.177884	-0.501604	-0.112122	-0.078643
-0.176884	-0.501923	-0.111122	-0.078850
-0.175884	-0.502249	-0.110122	-0.079057
-0.174884	-0.502584	-0.109122	-0.079264
-0.173884	-0.502926	-0.108122	-0.079471
-0.172884	-0.503278	-0.107122	-0.079678
-0.171884	-0.503640	-0.106122	-0.079885
-0.170884	-0.504012	-0.105122	-0.080091
-0.169884	-0.504396	-0.104122	-0.080298
-0.168884	-0.504793	-0.103122	-0.080505
-0.167884	-0.505204	-0.102122	-0.080712
-0.166884	-0.505631	-0.101122	-0.080918
-0.165884	-0.506074	-0.100122	-0.081125
-0.164884	-0.506536	-0.099122	-0.081332
-0.163884	-0.507019	-0.098122	-0.081538
-0.162884	-0.507524	-0.097122	-0.081745
-0.161884	-0.508056	-0.096122	-0.081952
