#omega_26	E_QP(omega)_26#	omega_27	E_QP(omega)_27
-0.319977	-0.272489	-0.220072	+0.000179
-0.318977	-0.274371	-0.219072	+0.000146
-0.317977	-0.276233	-0.218072	+0.000115
-0.316977	-0.278091	-0.217072	+0.000083
-0.315977	-0.279959	-0.216072	+0.000051
-0.314977	-0.281851	-0.215072	+0.000020
-0.313977	-0.283783	-0.214072	-0.000011
-0.312977	-0.285770	-0.213072	-0.000042
-0.311977	-0.287829	-0.212072	-0.000073
-0.310977	-0.289980	-0.211072	-0.000104
-0.309977	-0.292245	-0.210072	-0.000135
-0.308977	-0.294649	-0.209072	-0.000165
-0.307977	-0.297223	-0.208072	-0.000195
-0.306977	-0.300005	-0.207072	-0.000226
-0.305977	-0.303038	-0.206072	-0.000256
-0.304977	-0.306381	-0.205072	-0.000286
-0.303977	-0.310107	-0.204072	-0.000316
-0.302977	-0.314310	-0.203072	-0.000345
-0.301977	-0.319117	-0.202072	-0.000375
-0.300977	-0.324699	-0.201072	-0.000405
-0.299977	-0.331296	-0.200072	-0.000434
-0.298977	-0.339253	-0.199072	-0.000463
-0.297977	-0.349086	-0.198072	-0.000493
-0.296977	-0.361594	-0.197072	-0.000522
-0.295977	-0.378080	-0.196072	-0.000551
-0.294977	-0.400786	-0.195072	-0.000580
-0.293977	-0.433766	-0.194072	-0.000609
-0.292977	-0.484243	-0.193072	-0.000638
-0.291977	-0.557556	-0.192072	-0.000667
-0.290977	-0.528829	-0.191072	-0.000696
-0.289977	-0.028705	-0.190072	-0.000725
-0.288977	+0.019153	-0.189072	-0.000753
-0.287977	-0.054851	-0.188072	-0.000782
-0.286977	-0.106654	-0.187072	-0.000811
-0.285977	-0.140622	-0.186072	-0.000839
-0.284977	-0.164245	-0.185072	-0.000868
-0.283977	-0.181833	-0.184072	-0.000896
-0.282977	-0.195251	-0.183072	-0.000925
-0.281977	-0.199678	-0.182072	-0.000953
-0.280977	-0.203248	-0.181072	-0.000982
-0.279977	-0.210738	-0.180072	-0.001010
-0.278977	-0.217105	-0.179072	-0.001039
-0.277977	-0.222335	-0.178072	-0.001067
-0.276977	-0.226731	-0.177072	-0.001095
-0.275977	-0.230504	-0.176072	-0.001124
-0.274977	-0.233795	-0.175072	-0.001152
-0.273977	-0.236700	-0.174072	-0.001180
-0.272977	-0.239293	-0.173072	-0.001209
-0.271977	-0.241626	-0.172072	-0.001237
-0.270977	-0.243742	-0.171072	-0.001265
-0.269977	-0.245673	-0.170072	-0.001294
-0.268977	-0.247445	-0.169072	-0.001322
-0.267977	-0.249081	-0.168072	-0.001350
-0.266977	-0.250597	-0.167072	-0.001379
-0.265977	-0.252009	-0.166072	-0.001407
-0.264977	-0.253328	-0.165072	-0.001435
-0.263977	-0.254566	-0.164072	-0.001463
-0.262977	-0.255730	-0.163072	-0.001492
-0.261977	-0.256828	-0.162072	-0.001520
-0.260977	-0.257868	-0.161072	-0.001549
-0.259977	-0.258854	-0.160072	-0.001577
-0.258977	-0.259792	-0.159072	-0.001605
-0.257977	-0.260685	-0.158072	-0.001634
-0.256977	-0.261539	-0.157072	-0.001662
-0.255977	-0.262355	-0.156072	-0.001691
-0.254977	-0.263138	-0.155072	-0.001719
-0.253977	-0.263890	-0.154072	-0.001748
-0.252977	-0.264612	-0.153072	-0.001776
-0.251977	-0.265309	-0.152072	-0.001805
-0.250977	-0.265980	-0.151072	-0.001834
-0.249977	-0.266628	-0.150072	-0.001862
-0.248977	-0.267255	-0.149072	-0.001891
-0.247977	-0.267862	-0.148072	-0.001920
-0.246977	-0.268450	-0.147072	-0.001948
-0.245977	-0.269021	-0.146072	-0.001977
-0.244977	-0.269575	-0.145072	-0.002006
-0.243977	-0.270113	-0.144072	-0.002035
-0.242977	-0.270638	-0.143072	-0.002064
-0.241977	-0.271148	-0.142072	-0.002093
-0.240977	-0.271645	-0.141072	-0.002122
-0.239977	-0.272130	-0.140072	-0.002151
-0.238977	-0.272604	-0.139072	-0.002180
-0.237977	-0.273066	-0.138072	-0.002209
-0.236977	-0.273519	-0.137072	-0.002239
-0.235977	-0.273961	-0.136072	-0.002268
-0.234977	-0.274393	-0.135072	-0.002297
-0.233977	-0.274817	-0.134072	-0.002327
-0.232977	-0.275232	-0.133072	-0.002356
-0.231977	-0.275639	-0.132072	-0.002386
-0.230977	-0.276039	-0.131072	-0.002415
-0.229977	-0.276430	-0.130072	-0.002445
-0.228977	-0.276815	-0.129072	-0.002475
-0.227977	-0.277193	-0.128072	-0.002505
-0.226977	-0.277564	-0.127072	-0.002535
-0.225977	-0.277929	-0.126072	-0.002565
-0.224977	-0.278288	-0.125072	-0.002595
-0.223977	-0.278641	-0.124072	-0.002625
-0.222977	-0.278989	-0.123072	-0.002655
-0.221977	-0.279331	-0.122072	-0.002685
-0.220977	-0.279668	-0.121072	-0.002716
-0.219977	-0.280000	-0.120072	-0.002746
-0.218977	-0.280328	-0.119072	-0.002777
-0.217977	-0.280650	-0.118072	-0.002807
-0.216977	-0.280969	-0.117072	-0.002838
-0.215977	-0.281283	-0.116072	-0.002869
-0.214977	-0.281592	-0.115072	-0.002900
-0.213977	-0.281898	-0.114072	-0.002931
-0.212977	-0.282200	-0.113072	-0.002962
-0.211977	-0.282499	-0.112072	-0.002993
-0.210977	-0.282793	-0.111072	-0.003025
-0.209977	-0.283084	-0.110072	-0.003056
-0.208977	-0.283372	-0.109072	-0.003087
-0.207977	-0.283656	-0.108072	-0.003119
-0.206977	-0.283937	-0.107072	-0.003151
-0.205977	-0.284215	-0.106072	-0.003183
-0.204977	-0.284490	-0.105072	-0.003215
-0.203977	-0.284762	-0.104072	-0.003247
-0.202977	-0.285032	-0.103072	-0.003279
-0.201977	-0.285298	-0.102072	-0.003311
-0.200977	-0.285562	-0.101072	-0.003344
-0.199977	-0.285823	-0.100072	-0.003376
-0.198977	-0.286081	-0.099072	-0.003409
-0.197977	-0.286337	-0.098072	-0.003442
-0.196977	-0.286591	-0.097072	-0.003475
-0.195977	-0.286842	-0.096072	-0.003508
-0.194977	-0.287091	-0.095072	-0.003541
-0.193977	-0.287338	-0.094072	-0.003574
-0.192977	-0.287583	-0.093072	-0.003608
-0.191977	-0.287825	-0.092072	-0.003642
-0.190977	-0.288066	-0.091072	-0.003675
-0.189977	-0.288304	-0.090072	-0.003709
-0.188977	-0.288540	-0.089072	-0.003744
-0.187977	-0.288775	-0.088072	-0.003778
-0.186977	-0.289008	-0.087072	-0.003812
-0.185977	-0.289238	-0.086072	-0.003847
-0.184977	-0.289467	-0.085072	-0.003882
-0.183977	-0.289694	-0.084072	-0.003917
-0.182977	-0.289920	-0.083072	-0.003952
-0.181977	-0.290144	-0.082072	-0.003987
-0.180977	-0.290366	-0.081072	-0.004022
-0.179977	-0.290586	-0.080072	-0.004058
-0.178977	-0.290805	-0.079072	-0.004094
-0.177977	-0.291022	-0.078072	-0.004130
-0.176977	-0.291238	-0.077072	-0.004166
-0.175977	-0.291453	-0.076072	-0.004202
-0.174977	-0.291666	-0.075072	-0.004239
-0.173977	-0.291877	-0.074072	-0.004276
-0.172977	-0.292087	-0.073072	-0.004313
-0.171977	-0.292296	-0.072072	-0.004350
-0.170977	-0.292503	-0.071072	-0.004388
-0.169977	-0.292710	-0.070072	-0.004425
-0.168977	-0.292914	-0.069072	-0.004463
-0.167977	-0.293118	-0.068072	-0.004501
-0.166977	-0.293320	-0.067072	-0.004540
-0.165977	-0.293521	-0.066072	-0.004578
-0.164977	-0.293721	-0.065072	-0.004617
-0.163977	-0.293920	-0.064072	-0.004656
-0.162977	-0.294118	-0.063072	-0.004696
-0.161977	-0.294314	-0.062072	-0.004735
-0.160977	-0.294510	-0.061072	-0.004775
-0.159977	-0.294704	-0.060072	-0.004815
-0.158977	-0.294897	-0.059072	-0.004856
-0.157977	-0.295089	-0.058072	-0.004897
-0.156977	-0.295280	-0.057072	-0.004938
-0.155977	-0.295470	-0.056072	-0.004979
-0.154977	-0.295660	-0.055072	-0.005021
-0.153977	-0.295848	-0.054072	-0.005063
-0.152977	-0.296035	-0.053072	-0.005105
-0.151977	-0.296221	-0.052072	-0.005147
-0.150977	-0.296406	-0.051072	-0.005190
-0.149977	-0.296591	-0.050072	-0.005234
-0.148977	-0.296774	-0.049072	-0.005277
-0.147977	-0.296957	-0.048072	-0.005321
-0.146977	-0.297139	-0.047072	-0.005366
-0.145977	-0.297319	-0.046072	-0.005410
-0.144977	-0.297499	-0.045072	-0.005456
-0.143977	-0.297679	-0.044072	-0.005501
-0.142977	-0.297857	-0.043072	-0.005547
-0.141977	-0.298035	-0.042072	-0.005593
-0.140977	-0.298211	-0.041072	-0.005640
-0.139977	-0.298387	-0.040072	-0.005687
-0.138977	-0.298563	-0.039072	-0.005735
-0.137977	-0.298737	-0.038072	-0.005783
-0.136977	-0.298911	-0.037072	-0.005832
-0.135977	-0.299084	-0.036072	-0.005881
-0.134977	-0.299256	-0.035072	-0.005931
-0.133977	-0.299428	-0.034072	-0.005981
-0.132977	-0.299599	-0.033072	-0.006032
-0.131977	-0.299769	-0.032072	-0.006083
-0.130977	-0.299938	-0.031072	-0.006135
-0.129977	-0.300107	-0.030072	-0.006187
-0.128977	-0.300275	-0.029072	-0.006240
-0.127977	-0.300443	-0.028072	-0.006294
-0.126977	-0.300610	-0.027072	-0.006348
-0.125977	-0.300776	-0.026072	-0.006403
-0.124977	-0.300941	-0.025072	-0.006459
-0.123977	-0.301106	-0.024072	-0.006516
-0.122977	-0.301271	-0.023072	-0.006573
-0.121977	-0.301435	-0.022072	-0.006631
-0.120977	-0.301598	-0.021072	-0.006689
-0.119977	-0.301760	-0.020072	-0.006749
-0.118977	-0.301922	-0.019072	-0.006809
-0.117977	-0.302084	-0.018072	-0.006871
-0.116977	-0.302245	-0.017072	-0.006933
-0.115977	-0.302405	-0.016072	-0.006996
-0.114977	-0.302565	-0.015072	-0.007060
-0.113977	-0.302724	-0.014072	-0.007126
-0.112977	-0.302883	-0.013072	-0.007192
-0.111977	-0.303041	-0.012072	-0.007259
-0.110977	-0.303199	-0.011072	-0.007328
-0.109977	-0.303356	-0.010072	-0.007398
-0.108977	-0.303513	-0.009072	-0.007469
-0.107977	-0.303669	-0.008072	-0.007541
-0.106977	-0.303825	-0.007072	-0.007615
-0.105977	-0.303980	-0.006072	-0.007690
-0.104977	-0.304135	-0.005072	-0.007767
-0.103977	-0.304289	-0.004072	-0.007846
-0.102977	-0.304443	-0.003072	-0.007926
-0.101977	-0.304597	-0.002072	-0.008008
-0.100977	-0.304749	-0.001072	-0.008091
-0.099977	-0.304902	-0.000072	-0.008177
-0.098977	-0.305054	+0.000928	-0.008265
-0.097977	-0.305206	+0.001928	-0.008355
-0.096977	-0.305357	+0.002928	-0.008447
-0.095977	-0.305508	+0.003928	-0.008542
-0.094977	-0.305658	+0.004928	-0.008639
-0.093977	-0.305808	+0.005928	-0.008740
-0.092977	-0.305958	+0.006928	-0.008843
-0.091977	-0.306107	+0.007928	-0.008949
-0.090977	-0.306255	+0.008928	-0.009058
-0.089977	-0.306404	+0.009928	-0.009172
-0.088977	-0.306552	+0.010928	-0.009289
-0.087977	-0.306699	+0.011928	-0.009410
-0.086977	-0.306847	+0.012928	-0.009535
-0.085977	-0.306993	+0.013928	-0.009666
-0.084977	-0.307140	+0.014928	-0.009801
-0.083977	-0.307286	+0.015928	-0.009942
-0.082977	-0.307432	+0.016928	-0.010089
-0.081977	-0.307577	+0.017928	-0.010243
