#omega_26	E_QP(omega)_26#	omega_27	E_QP(omega)_27
-0.322966	-0.267367	-0.219714	-0.003284
-0.321966	-0.270559	-0.218714	-0.003317
-0.320966	-0.273548	-0.217714	-0.003349
-0.319966	-0.276385	-0.216714	-0.003381
-0.318966	-0.279113	-0.215714	-0.003413
-0.317966	-0.281769	-0.214714	-0.003445
-0.316966	-0.284387	-0.213714	-0.003477
-0.315966	-0.286997	-0.212714	-0.003508
-0.314966	-0.289631	-0.211714	-0.003540
-0.313966	-0.292320	-0.210714	-0.003571
-0.312966	-0.295099	-0.209714	-0.003603
-0.311966	-0.298004	-0.208714	-0.003634
-0.310966	-0.301081	-0.207714	-0.003665
-0.309966	-0.304382	-0.206714	-0.003696
-0.308966	-0.307971	-0.205714	-0.003727
-0.307966	-0.311932	-0.204714	-0.003758
-0.306966	-0.316371	-0.203714	-0.003789
-0.305966	-0.321435	-0.202714	-0.003820
-0.304966	-0.327321	-0.201714	-0.003851
-0.303966	-0.334316	-0.200714	-0.003882
-0.302966	-0.342842	-0.199714	-0.003913
-0.301966	-0.353547	-0.198714	-0.003943
-0.300966	-0.367484	-0.197714	-0.003974
-0.299966	-0.386444	-0.196714	-0.004005
-0.298966	-0.413650	-0.195714	-0.004035
-0.297966	-0.454919	-0.194714	-0.004066
-0.296966	-0.516458	-0.193714	-0.004096
-0.295966	-0.527183	-0.192714	-0.004127
-0.294966	-0.114880	-0.191714	-0.004157
-0.293966	-0.020215	-0.190714	-0.004188
-0.292966	-0.084764	-0.189714	-0.004218
-0.291966	-0.132472	-0.188714	-0.004248
-0.290966	-0.163749	-0.187714	-0.004279
-0.289966	-0.185480	-0.186714	-0.004309
-0.288966	-0.201588	-0.185714	-0.004339
-0.287966	-0.211362	-0.184714	-0.004370
-0.286966	-0.213722	-0.183714	-0.004400
-0.285966	-0.221044	-0.182714	-0.004430
-0.284966	-0.227871	-0.181714	-0.004461
-0.283966	-0.233435	-0.180714	-0.004491
-0.282966	-0.238056	-0.179714	-0.004522
-0.281966	-0.241982	-0.178714	-0.004552
-0.280966	-0.245378	-0.177714	-0.004582
-0.279966	-0.248358	-0.176714	-0.004613
-0.278966	-0.251003	-0.175714	-0.004643
-0.277966	-0.253374	-0.174714	-0.004673
-0.276966	-0.255517	-0.173714	-0.004704
-0.275966	-0.257468	-0.172714	-0.004734
-0.274966	-0.259256	-0.171714	-0.004765
-0.273966	-0.260902	-0.170714	-0.004795
-0.272966	-0.262427	-0.169714	-0.004825
-0.271966	-0.263846	-0.168714	-0.004856
-0.270966	-0.265171	-0.167714	-0.004886
-0.269966	-0.266413	-0.166714	-0.004917
-0.268966	-0.267582	-0.165714	-0.004948
-0.267966	-0.268686	-0.164714	-0.004978
-0.266966	-0.269730	-0.163714	-0.005009
-0.265966	-0.270721	-0.162714	-0.005039
-0.264966	-0.271664	-0.161714	-0.005070
-0.263966	-0.272563	-0.160714	-0.005101
-0.262966	-0.273423	-0.159714	-0.005132
-0.261966	-0.274246	-0.158714	-0.005162
-0.260966	-0.275035	-0.157714	-0.005193
-0.259966	-0.275794	-0.156714	-0.005224
-0.258966	-0.276524	-0.155714	-0.005255
-0.257966	-0.277228	-0.154714	-0.005286
-0.256966	-0.277907	-0.153714	-0.005317
-0.255966	-0.278564	-0.152714	-0.005348
-0.254966	-0.279199	-0.151714	-0.005379
-0.253966	-0.279815	-0.150714	-0.005410
-0.252966	-0.280413	-0.149714	-0.005442
-0.251966	-0.280993	-0.148714	-0.005473
-0.250966	-0.281557	-0.147714	-0.005504
-0.249966	-0.282105	-0.146714	-0.005536
-0.248966	-0.282640	-0.145714	-0.005567
-0.247966	-0.283161	-0.144714	-0.005598
-0.246966	-0.283669	-0.143714	-0.005630
-0.245966	-0.284165	-0.142714	-0.005662
-0.244966	-0.284649	-0.141714	-0.005693
-0.243966	-0.285123	-0.140714	-0.005725
-0.242966	-0.285586	-0.139714	-0.005757
-0.241966	-0.286040	-0.138714	-0.005789
-0.240966	-0.286484	-0.137714	-0.005821
-0.239966	-0.286919	-0.136714	-0.005853
-0.238966	-0.287346	-0.135714	-0.005885
-0.237966	-0.287765	-0.134714	-0.005917
-0.236966	-0.288176	-0.133714	-0.005949
-0.235966	-0.288579	-0.132714	-0.005982
-0.234966	-0.288976	-0.131714	-0.006014
-0.233966	-0.289366	-0.130714	-0.006046
-0.232966	-0.289749	-0.129714	-0.006079
-0.231966	-0.290126	-0.128714	-0.006112
-0.230966	-0.290497	-0.127714	-0.006144
-0.229966	-0.290863	-0.126714	-0.006177
-0.228966	-0.291223	-0.125714	-0.006210
-0.227966	-0.291577	-0.124714	-0.006243
-0.226966	-0.291926	-0.123714	-0.006276
-0.225966	-0.292271	-0.122714	-0.006309
-0.224966	-0.292610	-0.121714	-0.006343
-0.223966	-0.292945	-0.120714	-0.006376
-0.222966	-0.293276	-0.119714	-0.006410
-0.221966	-0.293602	-0.118714	-0.006443
-0.220966	-0.293924	-0.117714	-0.006477
-0.219966	-0.294243	-0.116714	-0.006511
-0.218966	-0.294557	-0.115714	-0.006544
-0.217966	-0.294867	-0.114714	-0.006578
-0.216966	-0.295174	-0.113714	-0.006613
-0.215966	-0.295477	-0.112714	-0.006647
-0.214966	-0.295777	-0.111714	-0.006681
-0.213966	-0.296074	-0.110714	-0.006716
-0.212966	-0.296367	-0.109714	-0.006750
-0.211966	-0.296657	-0.108714	-0.006785
-0.210966	-0.296944	-0.107714	-0.006820
-0.209966	-0.297229	-0.106714	-0.006855
-0.208966	-0.297510	-0.105714	-0.006890
-0.207966	-0.297788	-0.104714	-0.006925
-0.206966	-0.298064	-0.103714	-0.006960
-0.205966	-0.298337	-0.102714	-0.006995
-0.204966	-0.298608	-0.101714	-0.007031
-0.203966	-0.298876	-0.100714	-0.007067
-0.202966	-0.299142	-0.099714	-0.007103
-0.201966	-0.299405	-0.098714	-0.007139
-0.200966	-0.299666	-0.097714	-0.007175
-0.199966	-0.299924	-0.096714	-0.007211
-0.198966	-0.300181	-0.095714	-0.007247
-0.197966	-0.300435	-0.094714	-0.007284
-0.196966	-0.300687	-0.093714	-0.007321
-0.195966	-0.300937	-0.092714	-0.007358
-0.194966	-0.301185	-0.091714	-0.007395
-0.193966	-0.301431	-0.090714	-0.007432
-0.192966	-0.301675	-0.089714	-0.007469
-0.191966	-0.301918	-0.088714	-0.007507
-0.190966	-0.302158	-0.087714	-0.007544
-0.189966	-0.302397	-0.086714	-0.007582
-0.188966	-0.302634	-0.085714	-0.007620
-0.187966	-0.302869	-0.084714	-0.007658
-0.186966	-0.303102	-0.083714	-0.007697
-0.185966	-0.303334	-0.082714	-0.007735
-0.184966	-0.303564	-0.081714	-0.007774
-0.183966	-0.303793	-0.080714	-0.007813
-0.182966	-0.304020	-0.079714	-0.007852
-0.181966	-0.304246	-0.078714	-0.007891
-0.180966	-0.304470	-0.077714	-0.007931
-0.179966	-0.304692	-0.076714	-0.007971
-0.178966	-0.304914	-0.075714	-0.008011
-0.177966	-0.305134	-0.074714	-0.008051
-0.176966	-0.305352	-0.073714	-0.008091
-0.175966	-0.305569	-0.072714	-0.008132
-0.174966	-0.305785	-0.071714	-0.008172
-0.173966	-0.305999	-0.070714	-0.008214
-0.172966	-0.306212	-0.069714	-0.008255
-0.171966	-0.306424	-0.068714	-0.008296
-0.170966	-0.306635	-0.067714	-0.008338
-0.169966	-0.306845	-0.066714	-0.008380
-0.168966	-0.307053	-0.065714	-0.008422
-0.167966	-0.307260	-0.064714	-0.008465
-0.166966	-0.307466	-0.063714	-0.008507
-0.165966	-0.307671	-0.062714	-0.008550
-0.164966	-0.307875	-0.061714	-0.008594
-0.163966	-0.308077	-0.060714	-0.008637
-0.162966	-0.308279	-0.059714	-0.008681
-0.161966	-0.308479	-0.058714	-0.008725
-0.160966	-0.308679	-0.057714	-0.008769
-0.159966	-0.308878	-0.056714	-0.008814
-0.158966	-0.309075	-0.055714	-0.008859
-0.157966	-0.309272	-0.054714	-0.008904
-0.156966	-0.309467	-0.053714	-0.008950
-0.155966	-0.309662	-0.052714	-0.008996
-0.154966	-0.309855	-0.051714	-0.009042
-0.153966	-0.310048	-0.050714	-0.009089
-0.152966	-0.310240	-0.049714	-0.009136
-0.151966	-0.310431	-0.048714	-0.009183
-0.150966	-0.310621	-0.047714	-0.009231
-0.149966	-0.310810	-0.046714	-0.009279
