#omega_13	E_QP(omega)_13#	omega_14	E_QP(omega)_14
-0.343072	-0.383822	-0.232742	-0.004858
-0.342072	-0.398491	-0.231742	-0.004895
-0.341072	-0.417478	-0.230742	-0.004931
-0.340072	-0.443154	-0.229742	-0.004967
-0.339072	-0.479768	-0.228742	-0.005003
-0.338072	-0.535026	-0.227742	-0.005039
-0.337072	-0.618250	-0.226742	-0.005074
-0.336072	-0.653735	-0.225742	-0.005110
-0.335072	-0.115121	-0.224742	-0.005145
-0.334072	+0.065842	-0.223742	-0.005181
-0.333072	-0.022552	-0.222742	-0.005216
-0.332072	-0.090586	-0.221742	-0.005251
-0.331072	-0.134886	-0.220742	-0.005286
-0.330072	-0.165112	-0.219742	-0.005321
-0.329072	-0.186974	-0.218742	-0.005356
-0.328072	-0.203642	-0.217742	-0.005391
-0.327072	-0.216990	-0.216742	-0.005425
-0.326072	-0.228267	-0.215742	-0.005460
-0.325072	-0.238368	-0.214742	-0.005495
-0.324072	-0.246269	-0.213742	-0.005529
-0.323072	-0.240711	-0.212742	-0.005563
-0.322072	-0.241349	-0.211742	-0.005598
-0.321072	-0.247781	-0.210742	-0.005632
-0.320072	-0.253285	-0.209742	-0.005666
-0.319072	-0.257834	-0.208742	-0.005700
-0.318072	-0.261713	-0.207742	-0.005735
-0.317072	-0.265107	-0.206742	-0.005769
-0.316072	-0.268129	-0.205742	-0.005803
-0.315072	-0.270855	-0.204742	-0.005837
-0.314072	-0.273338	-0.203742	-0.005871
-0.313072	-0.275619	-0.202742	-0.005904
-0.312072	-0.277726	-0.201742	-0.005938
-0.311072	-0.279685	-0.200742	-0.005972
-0.310072	-0.281514	-0.199742	-0.006006
-0.309072	-0.283229	-0.198742	-0.006040
-0.308072	-0.284842	-0.197742	-0.006073
-0.307072	-0.286366	-0.196742	-0.006107
-0.306072	-0.287808	-0.195742	-0.006141
-0.305072	-0.289177	-0.194742	-0.006175
-0.304072	-0.290481	-0.193742	-0.006208
-0.303072	-0.291724	-0.192742	-0.006242
-0.302072	-0.292912	-0.191742	-0.006276
-0.301072	-0.294051	-0.190742	-0.006309
-0.300072	-0.295143	-0.189742	-0.006343
-0.299072	-0.296192	-0.188742	-0.006376
-0.298072	-0.297202	-0.187742	-0.006410
-0.297072	-0.298176	-0.186742	-0.006444
-0.296072	-0.299115	-0.185742	-0.006477
-0.295072	-0.300023	-0.184742	-0.006511
-0.294072	-0.300902	-0.183742	-0.006544
-0.293072	-0.301753	-0.182742	-0.006578
-0.292072	-0.302578	-0.181742	-0.006612
-0.291072	-0.303379	-0.180742	-0.006645
-0.290072	-0.304157	-0.179742	-0.006679
-0.289072	-0.304913	-0.178742	-0.006713
-0.288072	-0.305650	-0.177742	-0.006746
-0.287072	-0.306367	-0.176742	-0.006780
-0.286072	-0.307066	-0.175742	-0.006814
-0.285072	-0.307747	-0.174742	-0.006848
-0.284072	-0.308413	-0.173742	-0.006881
-0.283072	-0.309063	-0.172742	-0.006915
-0.282072	-0.309698	-0.171742	-0.006949
-0.281072	-0.310319	-0.170742	-0.006983
-0.280072	-0.310927	-0.169742	-0.007017
-0.279072	-0.311522	-0.168742	-0.007051
-0.278072	-0.312105	-0.167742	-0.007085
-0.277072	-0.312677	-0.166742	-0.007119
-0.276072	-0.313237	-0.165742	-0.007153
-0.275072	-0.313786	-0.164742	-0.007187
-0.274072	-0.314326	-0.163742	-0.007221
-0.273072	-0.314855	-0.162742	-0.007255
-0.272072	-0.315375	-0.161742	-0.007289
-0.271072	-0.315886	-0.160742	-0.007324
-0.270072	-0.316388	-0.159742	-0.007358
-0.269072	-0.316882	-0.158742	-0.007392
-0.268072	-0.317368	-0.157742	-0.007427
-0.267072	-0.317846	-0.156742	-0.007461
-0.266072	-0.318317	-0.155742	-0.007496
-0.265072	-0.318780	-0.154742	-0.007530
-0.264072	-0.319236	-0.153742	-0.007565
-0.263072	-0.319686	-0.152742	-0.007600
-0.262072	-0.320129	-0.151742	-0.007635
-0.261072	-0.320566	-0.150742	-0.007670
-0.260072	-0.320997	-0.149742	-0.007704
-0.259072	-0.321421	-0.148742	-0.007739
-0.258072	-0.321841	-0.147742	-0.007775
-0.257072	-0.322254	-0.146742	-0.007810
-0.256072	-0.322662	-0.145742	-0.007845
-0.255072	-0.323065	-0.144742	-0.007880
-0.254072	-0.323463	-0.143742	-0.007916
-0.253072	-0.323856	-0.142742	-0.007951
-0.252072	-0.324245	-0.141742	-0.007987
-0.251072	-0.324628	-0.140742	-0.008022
-0.250072	-0.325008	-0.139742	-0.008058
-0.249072	-0.325382	-0.138742	-0.008094
-0.248072	-0.325753	-0.137742	-0.008130
-0.247072	-0.326119	-0.136742	-0.008166
-0.246072	-0.326482	-0.135742	-0.008202
-0.245072	-0.326840	-0.134742	-0.008238
-0.244072	-0.327195	-0.133742	-0.008275
-0.243072	-0.327546	-0.132742	-0.008311
-0.242072	-0.327894	-0.131742	-0.008348
-0.241072	-0.328237	-0.130742	-0.008384
-0.240072	-0.328578	-0.129742	-0.008421
-0.239072	-0.328915	-0.128742	-0.008458
-0.238072	-0.329249	-0.127742	-0.008495
-0.237072	-0.329579	-0.126742	-0.008532
-0.236072	-0.329907	-0.125742	-0.008569
-0.235072	-0.330231	-0.124742	-0.008606
-0.234072	-0.330553	-0.123742	-0.008644
-0.233072	-0.330871	-0.122742	-0.008682
-0.232072	-0.331187	-0.121742	-0.008719
-0.231072	-0.331500	-0.120742	-0.008757
-0.230072	-0.331810	-0.119742	-0.008795
-0.229072	-0.332117	-0.118742	-0.008833
-0.228072	-0.332422	-0.117742	-0.008872
-0.227072	-0.332725	-0.116742	-0.008910
-0.226072	-0.333025	-0.115742	-0.008948
-0.225072	-0.333322	-0.114742	-0.008987
-0.224072	-0.333617	-0.113742	-0.009026
-0.223072	-0.333910	-0.112742	-0.009065
-0.222072	-0.334200	-0.111742	-0.009104
-0.221072	-0.334488	-0.110742	-0.009143
-0.220072	-0.334774	-0.109742	-0.009183
-0.219072	-0.335058	-0.108742	-0.009223
-0.218072	-0.335340	-0.107742	-0.009262
-0.217072	-0.335620	-0.106742	-0.009302
-0.216072	-0.335897	-0.105742	-0.009343
-0.215072	-0.336173	-0.104742	-0.009383
-0.214072	-0.336447	-0.103742	-0.009423
-0.213072	-0.336718	-0.102742	-0.009464
-0.212072	-0.336988	-0.101742	-0.009505
-0.211072	-0.337256	-0.100742	-0.009546
-0.210072	-0.337522	-0.099742	-0.009587
-0.209072	-0.337787	-0.098742	-0.009629
-0.208072	-0.338049	-0.097742	-0.009670
-0.207072	-0.338310	-0.096742	-0.009712
-0.206072	-0.338570	-0.095742	-0.009754
-0.205072	-0.338827	-0.094742	-0.009797
-0.204072	-0.339083	-0.093742	-0.009839
-0.203072	-0.339338	-0.092742	-0.009882
-0.202072	-0.339591	-0.091742	-0.009925
-0.201072	-0.339842	-0.090742	-0.009968
-0.200072	-0.340092	-0.089742	-0.010011
-0.199072	-0.340340	-0.088742	-0.010055
-0.198072	-0.340587	-0.087742	-0.010099
-0.197072	-0.340832	-0.086742	-0.010143
-0.196072	-0.341076	-0.085742	-0.010187
-0.195072	-0.341318	-0.084742	-0.010232
-0.194072	-0.341560	-0.083742	-0.010277
-0.193072	-0.341799	-0.082742	-0.010322
-0.192072	-0.342038	-0.081742	-0.010367
-0.191072	-0.342275	-0.080742	-0.010413
-0.190072	-0.342511	-0.079742	-0.010459
-0.189072	-0.342745	-0.078742	-0.010505
-0.188072	-0.342979	-0.077742	-0.010551
-0.187072	-0.343211	-0.076742	-0.010598
-0.186072	-0.343442	-0.075742	-0.010645
-0.185072	-0.343671	-0.074742	-0.010693
-0.184072	-0.343900	-0.073742	-0.010740
-0.183072	-0.344127	-0.072742	-0.010788
-0.182072	-0.344353	-0.071742	-0.010837
-0.181072	-0.344579	-0.070742	-0.010885
-0.180072	-0.344803	-0.069742	-0.010934
-0.179072	-0.345025	-0.068742	-0.010984
-0.178072	-0.345247	-0.067742	-0.011033
-0.177072	-0.345468	-0.066742	-0.011084
-0.176072	-0.345688	-0.065742	-0.011134
-0.175072	-0.345906	-0.064742	-0.011185
-0.174072	-0.346124	-0.063742	-0.011236
-0.173072	-0.346341	-0.062742	-0.011288
-0.172072	-0.346556	-0.061742	-0.011339
-0.171072	-0.346771	-0.060742	-0.011392
-0.170072	-0.346985	-0.059742	-0.011445
-0.169072	-0.347198	-0.058742	-0.011498
-0.168072	-0.347410	-0.057742	-0.011551
-0.167072	-0.347621	-0.056742	-0.011606
-0.166072	-0.347831	-0.055742	-0.011660
-0.165072	-0.348040	-0.054742	-0.011715
-0.164072	-0.348248	-0.053742	-0.011771
-0.163072	-0.348455	-0.052742	-0.011826
-0.162072	-0.348662	-0.051742	-0.011883
-0.161072	-0.348867	-0.050742	-0.011940
-0.160072	-0.349072	-0.049742	-0.011997
-0.159072	-0.349276	-0.048742	-0.012055
-0.158072	-0.349479	-0.047742	-0.012114
-0.157072	-0.349682	-0.046742	-0.012173
-0.156072	-0.349883	-0.045742	-0.012233
-0.155072	-0.350084	-0.044742	-0.012293
-0.154072	-0.350284	-0.043742	-0.012354
-0.153072	-0.350483	-0.042742	-0.012415
-0.152072	-0.350682	-0.041742	-0.012477
-0.151072	-0.350880	-0.040742	-0.012540
-0.150072	-0.351077	-0.039742	-0.012603
-0.149072	-0.351273	-0.038742	-0.012667
-0.148072	-0.351469	-0.037742	-0.012732
-0.147072	-0.351663	-0.036742	-0.012797
-0.146072	-0.351858	-0.035742	-0.012864
-0.145072	-0.352051	-0.034742	-0.012931
-0.144072	-0.352244	-0.033742	-0.012998
-0.143072	-0.352436	-0.032742	-0.013067
-0.142072	-0.352627	-0.031742	-0.013136
-0.141072	-0.352818	-0.030742	-0.013206
-0.140072	-0.353008	-0.029742	-0.013277
-0.139072	-0.353198	-0.028742	-0.013349
-0.138072	-0.353387	-0.027742	-0.013422
-0.137072	-0.353575	-0.026742	-0.013496
-0.136072	-0.353762	-0.025742	-0.013570
-0.135072	-0.353949	-0.024742	-0.013646
-0.134072	-0.354136	-0.023742	-0.013723
-0.133072	-0.354321	-0.022742	-0.013801
-0.132072	-0.354507	-0.021742	-0.013880
-0.131072	-0.354691	-0.020742	-0.013960
-0.130072	-0.354875	-0.019742	-0.014041
-0.129072	-0.355059	-0.018742	-0.014124
-0.128072	-0.355242	-0.017742	-0.014207
-0.127072	-0.355424	-0.016742	-0.014292
-0.126072	-0.355606	-0.015742	-0.014379
-0.125072	-0.355787	-0.014742	-0.014467
-0.124072	-0.355968	-0.013742	-0.014556
-0.123072	-0.356148	-0.012742	-0.014647
-0.122072	-0.356327	-0.011742	-0.014739
-0.121072	-0.356506	-0.010742	-0.014833
-0.120072	-0.356685	-0.009742	-0.014928
-0.119072	-0.356863	-0.008742	-0.015026
-0.118072	-0.357041	-0.007742	-0.015125
-0.117072	-0.357218	-0.006742	-0.015226
-0.116072	-0.357394	-0.005742	-0.015329
-0.115072	-0.357570	-0.004742	-0.015434
-0.114072	-0.357746	-0.003742	-0.015541
-0.113072	-0.357921	-0.002742	-0.015651
-0.112072	-0.358096	-0.001742	-0.015762
-0.111072	-0.358270	-0.000742	-0.015876
-0.110072	-0.358444	+0.000258	-0.015993
-0.109072	-0.358617	+0.001258	-0.016113
-0.108072	-0.358790	+0.002258	-0.016235
-0.107072	-0.358962	+0.003258	-0.016360
-0.106072	-0.359134	+0.004258	-0.016488
-0.105072	-0.359306	+0.005258	-0.016619
-0.104072	-0.359477	+0.006258	-0.016754
-0.103072	-0.359647	+0.007258	-0.016893
-0.102072	-0.359818	+0.008258	-0.017035
-0.101072	-0.359988	+0.009258	-0.017181
-0.100072	-0.360157	+0.010258	-0.017331
-0.099072	-0.360326	+0.011258	-0.017486
-0.098072	-0.360495	+0.012258	-0.017646
-0.097072	-0.360663	+0.013258	-0.017810
-0.096072	-0.360831	+0.014258	-0.017980
-0.095072	-0.360998	+0.015258	-0.018156
-0.094072	-0.361165	+0.016258	-0.018337
-0.093072	-0.361332	+0.017258	-0.018525
-0.092072	-0.361498	+0.018258	-0.018720
-0.091072	-0.361664	+0.019258	-0.018922
-0.090072	-0.361829	+0.020258	-0.019132
-0.089072	-0.361995	+0.021258	-0.019351
-0.088072	-0.362159	+0.022258	-0.019578
-0.087072	-0.362324	+0.023258	-0.019816
-0.086072	-0.362488	+0.024258	-0.020064
-0.085072	-0.362652	+0.025258	-0.020324
-0.084072	-0.362815	+0.026258	-0.020596
-0.083072	-0.362978	+0.027258	-0.020882
-0.082072	-0.363141	+0.028258	-0.021183
-0.081072	-0.363303	+0.029258	-0.021501
-0.080072	-0.363465	+0.030258	-0.021836
-0.079072	-0.363627	+0.031258	-0.022191
-0.078072	-0.363789	+0.032258	-0.022569
-0.077072	-0.363950	+0.033258	-0.022970
-0.076072	-0.364111	+0.034258	-0.023399
-0.075072	-0.364271	+0.035258	-0.023859
-0.074072	-0.364431	+0.036258	-0.024352
-0.073072	-0.364591	+0.037258	-0.024885
-0.072072	-0.364751	+0.038258	-0.025462
-0.071072	-0.364910	+0.039258	-0.026089
-0.070072	-0.365069	+0.040258	-0.026775
-0.069072	-0.365228	+0.041258	-0.027529
-0.068072	-0.365386	+0.042258	-0.028362
-0.067072	-0.365544	+0.043258	-0.029288
-0.066072	-0.365702	+0.044258	-0.030326
-0.065072	-0.365860	+0.045258	-0.031498
-0.064072	-0.366017	+0.046258	-0.032834
-0.063072	-0.366174	+0.047258	-0.034373
-0.062072	-0.366331	+0.048258	-0.036167
-0.061072	-0.366487	+0.049258	-0.038288
-0.060072	-0.366644	+0.050258	-0.040838
-0.059072	-0.366800	+0.051258	-0.043963
-0.058072	-0.366955	+0.052258	-0.047887
-0.057072	-0.367111	+0.053258	-0.052958
-0.056072	-0.367266	+0.054258	-0.059755
-0.055072	-0.367421	+0.055258	-0.069288
-0.054072	-0.367576	+0.056258	-0.083397
-0.053072	-0.367731	+0.057258	-0.105205
-0.052072	-0.367885	+0.058258	-0.133615
-0.051072	-0.368039	+0.059258	-0.074753
-0.050072	-0.368193	+0.060258	+0.099991
-0.049072	-0.368347	+0.061258	+0.088724
-0.048072	-0.368500	+0.062258	+0.061991
-0.047072	-0.368653	+0.063258	+0.044324
-0.046072	-0.368806	+0.064258	+0.032704
-0.045072	-0.368959	+0.065258	+0.024633
-0.044072	-0.369112	+0.066258	+0.018737
-0.043072	-0.369264	+0.067258	+0.014248
